i	mc_beam_e	mc_beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	beam_e	beam_m	qq_m	ln_m
0	1401.831	1401.83	59.433	1.53	0.05	59.482	80.265	1277.845	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	73.749	56.317	14.143	1.5	1.999	2.952	-1.861	57.251	16.498	0	0	0	0	0	0
1	870.127	693.362	62.947	0.131	0.159	480.722	81.081	472.657	1.0	84.789	-11.0	-	-	-	-	39.536	-	-	-	-	2.657	-	-	-	-	0.722	-	-	-	-	84.789	-	-	-	-	1.0	-	-	-	-	2.0	433.832	88.586	33.539	2.914	2.099	-3.111	-1.669	392.883	40.948	0	0	0	0	0	0
2	523.203	498.246	38.892	2.476	-1.07	62.999	90.493	80.457	1.0	193.457	13.0	-	-	-	-	43.339	-	-	-	-	0.226	-	-	-	-	0.762	-	-	-	-	193.457	-	-	-	-	-1.0	-	-	-	-	2.0	160.551	35.808	30.222	2.836	2.268	-2.588	2.275	120.605	39.946	0	0	0	0	0	0
3	1396.597	1396.558	18.772	2.841	2.447	63.446	88.765	80.098	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	67.522	20.345	4.855	0.491	0.212	-0.93	1.086	44.199	23.323	0	0	0	0	0	0
4	1357.053	1356.412	64.539	3.04	-1.45	634.615	80.091	1234.442	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	683.842	107.637	62.698	0.176	1.175	1.138	-2.575	615.067	68.775	0	0	0	0	0	0
5	911.759	773.371	25.393	0.16	0.13	159.849	80.396	80.142	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	389.585	50.614	41.408	0.443	2.986	-2.06	1.604	120.532	269.053	0	0	0	0	0	0
6	1319.196	1317.381	159.746	0.981	-1.871	192.239	70.532	1069.708	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	203.511	133.087	38.131	2.105	2.209	1.458	0.563	154.977	48.534	0	0	0	0	0	0
7	840.787	712.255	119.879	2.529	-2.266	208.507	79.525	457.932	1.0	184.405	-11.0	-	-	-	-	71.361	-	-	-	-	2.744	-	-	-	-	0.836	-	-	-	-	184.405	-	-	-	-	1.0	-	-	-	-	2.0	348.331	41.259	25.757	0.201	0.183	0.372	1.953	206.29	142.041	0	0	0	0	0	0
8	962.005	859.582	77.36	2.418	-2.556	116.853	80.489	85.368	1.0	163.887	-11.0	-	-	-	-	120.349	-	-	-	-	2.317	-	-	-	-	0.512	-	-	-	-	163.887	-	-	-	-	1.0	-	-	-	-	2.0	206.384	32.109	16.906	0.221	0.293	-3.094	-2.087	147.56	58.825	0	0	0	0	0	0
9	1371.394	1371.34	120.093	1.612	1.101	120.197	81.488	1175.88	1.0	5.027	13.0	-	-	-	-	2.043	-	-	-	-	2.723	-	-	-	-	-2.284	-	-	-	-	5.027	-	-	-	-	-1.0	-	-	-	-	2.0	137.838	110.782	9.971	1.351	2.673	-2.009	-2.391	114.994	22.844	0	0	0	0	0	0
