i	mc_beam_e	mc_beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	beam_e	beam_m	qq_m	ln_m
0	1287.723	1282.833	17.508	2.941	2.991	87.663	43.615	1200.399	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	102.338	23.214	16.515	0.96	0.233	-0.94	1.35	29.851	72.487	0	0	0	0	0	0
1	1052.149	1032.338	17.115	0.1	3.074	171.072	85.262	627.171	1.0	555.21	-11.0	-	-	-	-	93.945	-	-	-	-	2.972	-	-	-	-	-0.924	-	-	-	-	555.21	-	-	-	-	1.0	-	-	-	-	2.0	428.011	122.288	52.351	0.624	0.244	2.42	-0.127	209.901	218.111	0	0	0	0	0	0
2	1394.33	1394.251	26.778	2.787	-2.71	77.111	26.446	1333.653	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	81.198	21.174	6.835	0.426	0.261	0.596	-0.101	54.093	27.105	0	0	0	0	0	0
3	808.844	558.818	12.425	2.826	1.139	39.983	11.92	545.788	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	46.424	10.973	10.151	0.534	0.481	-1.113	-2.999	22.911	23.513	0	0	0	0	0	0
4	1194.088	1181.162	47.36	0.358	0.79	135.0	96.851	443.523	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	146.907	42.215	17.665	2.784	2.217	-2.732	-1.261	123.42	23.487	0	0	0	0	0	0
5	1378.253	1377.927	10.208	0.416	-3.095	25.285	10.945	1333.074	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	28.454	8.151	5.26	2.684	2.467	-0.49	0.962	19.277	9.177	0	0	0	0	0	0
6	692.246	616.684	41.201	0.242	3.039	171.741	52.106	500.919	1.0	131.904	-11.0	-	-	-	-	47.27	-	-	-	-	2.775	-	-	-	-	-0.843	-	-	-	-	131.904	-	-	-	-	1.0	-	-	-	-	2.0	67.526	22.988	22.799	2.543	1.887	0.535	2.067	43.049	24.478	0	0	0	0	0	0
7	983.502	887.65	60.094	2.697	-0.277	139.788	125.333	727.471	1.0	254.977	11.0	-	-	-	-	87.865	-	-	-	-	0.352	-	-	-	-	2.545	-	-	-	-	254.977	-	-	-	-	-1.0	-	-	-	-	2.0	157.206	40.266	38.256	2.781	1.978	-2.101	-0.008	114.242	42.963	0	0	0	0	0	0
8	1167.969	1143.697	17.45	2.767	-3.111	47.659	83.763	1052.279	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	53.807	12.795	7.554	0.952	0.211	-0.37	0.753	17.428	36.379	0	0	0	0	0	0
9	1390.602	1390.485	26.1	1.913	-2.701	27.711	36.157	1338.101	1.0	5.239	-11.0	-	-	-	-	5.21	-	-	-	-	1.672	-	-	-	-	0.319	-	-	-	-	5.239	-	-	-	-	1.0	-	-	-	-	2.0	27.996	10.749	10.268	0.74	1.756	0.555	0.381	17.363	10.633	0	0	0	0	0	0
10	1118.713	1095.065	31.412	2.05	-1.547	35.394	30.931	1057.932	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	51.88	24.286	13.679	1.679	0.625	2.02	0.771	26.136	25.744	0	0	0	0	0	0
11	1103.302	1063.351	17.472	0.55	0.961	33.431	15.407	745.191	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	40.063	13.653	8.276	2.049	2.773	-2.66	-1.314	15.668	24.395	0	0	0	0	0	0
12	1336.286	1334.494	21.66	1.517	-3.122	21.692	40.284	1289.041	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	40.414	16.423	10.691	2.259	0.714	0.519	-0.806	22.87	17.544	0	0	0	0	0	0
13	1396.036	1395.951	8.731	0.993	-0.926	10.425	23.841	1330.164	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	25.208	9.663	7.469	2.413	0.968	3.046	0.946	15.691	9.517	0	0	0	0	0	0
14	1398.447	1398.376	6.612	3.001	-2.156	47.108	13.236	1234.916	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	52.893	10.531	4.126	0.711	0.119	0.83	-2.562	17.595	35.298	0	0	0	0	0	0
15	1052.419	1030.879	14.724	3.118	3.117	621.823	11.763	1016.693	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	654.205	63.888	61.113	0.804	0.109	-1.291	1.619	88.816	565.39	0	0	0	0	0	0
16	1072.024	1022.222	8.24	2.904	-0.296	34.997	15.042	663.18	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	41.683	11.392	7.335	0.515	0.485	-2.74	1.208	25.334	16.349	0	0	0	0	0	0
17	1393.506	1393.436	23.837	2.148	-1.354	28.443	11.012	1368.28	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	47.839	16.171	8.067	0.54	2.529	1.916	1.529	32.898	14.941	0	0	0	0	0	0
18	1383.023	1382.909	18.375	2.776	-2.43	51.384	19.319	1238.34	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	73.188	11.21	7.419	0.191	2.496	0.577	0.915	60.029	13.159	0	0	0	0	0	0
19	1382.555	1382.481	2.533	3.095	-0.361	53.922	35.42	1105.813	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	61.058	10.04	9.173	0.22	0.792	-2.403	0.987	47.261	13.797	0	0	0	0	0	0
20	1388.009	1387.927	36.602	3.054	2.289	417.088	106.205	826.35	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	423.563	51.948	16.23	0.178	0.127	-0.973	1.892	295.22	128.342	0	0	0	0	0	0
21	1287.674	1282.741	8.197	2.392	-3.018	12.03	12.044	1214.824	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	22.076	8.398	6.79	0.645	1.905	0.967	-1.052	14.762	7.314	0	0	0	0	0	0
22	1321.848	1321.324	17.202	1.042	-1.994	19.925	34.214	1282.951	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	39.618	12.045	9.852	2.591	0.8	0.556	1.898	24.95	14.668	0	0	0	0	0	0
23	597.717	496.519	31.075	0.32	2.622	98.645	35.698	455.05	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	104.047	24.301	14.796	2.584	2.877	-1.003	0.349	47.397	56.65	0	0	0	0	0	0
24	983.178	971.69	19.626	1.882	-1.684	20.615	42.749	720.392	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	40.325	10.252	9.583	0.491	2.501	1.598	1.307	23.071	17.253	0	0	0	0	0	0
25	1394.356	1394.286	7.981	1.763	-1.577	8.131	103.858	1288.505	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	79.973	14.063	6.096	0.354	2.976	1.527	-1.664	42.32	37.652	0	0	0	0	0	0
26	1398.199	1398.126	18.021	3.112	-0.518	608.687	92.778	634.254	1.0	148.105	11.0	-	-	-	-	48.626	-	-	-	-	0.335	-	-	-	-	-1.47	-	-	-	-	148.105	-	-	-	-	-1.0	-	-	-	-	2.0	477.302	72.204	22.67	0.208	0.179	2.213	-0.002	349.918	127.384	0	0	0	0	0	0
27	1106.661	1086.191	54.596	0.154	-2.914	356.37	89.486	765.86	1.0	278.72	-11.0	-	-	-	-	121.486	-	-	-	-	2.691	-	-	-	-	2.234	-	-	-	-	278.72	-	-	-	-	1.0	-	-	-	-	2.0	343.635	218.912	67.932	1.557	2.55	-0.694	2.188	219.947	123.688	0	0	0	0	0	0
28	1329.488	1327.355	17.46	1.881	-1.467	18.334	14.684	1307.704	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	22.575	13.23	6.944	1.418	1.098	2.039	0.929	14.376	8.199	0	0	0	0	0	0
29	1237.834	1228.267	19.686	2.922	-0.893	90.371	10.27	1160.16	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	95.559	19.597	8.011	0.289	0.345	1.837	-2.68	70.672	24.886	0	0	0	0	0	0
30	1152.642	1126.101	5.206	0.19	-1.477	27.529	19.361	991.795	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	54.482	9.229	5.421	2.909	0.428	2.195	-0.44	40.738	13.744	0	0	0	0	0	0
31	1382.288	1382.145	28.09	0.346	1.439	82.887	17.966	1319.198	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	87.827	22.324	10.707	2.571	2.899	-2.064	-0.871	42.983	44.844	0	0	0	0	0	0
32	1307.095	1303.863	6.177	2.671	0.936	13.632	11.244	1040.547	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	16.083	4.333	4.175	0.938	0.435	-1.465	-2.982	5.849	10.234	0	0	0	0	0	0
33	1399.769	1399.69	5.135	0.124	-1.754	41.591	39.966	1219.007	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	46.928	8.099	4.292	2.434	3.007	0.901	-2.834	13.959	32.969	0	0	0	0	0	0
34	1400.34	1400.27	9.485	2.508	1.48	16.013	12.049	1143.483	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	19.8	6.505	5.676	1.053	0.553	-1.037	-2.397	8.006	11.794	0	0	0	0	0	0
35	1201.404	1196.412	48.643	3.069	1.979	674.715	146.906	1009.278	1.0	463.083	11.0	-	-	-	-	61.38	-	-	-	-	0.133	-	-	-	-	0.488	-	-	-	-	463.083	-	-	-	-	-1.0	-	-	-	-	2.0	234.891	60.32	29.773	0.407	0.382	-2.318	-1.366	153.32	81.571	0	0	0	0	0	0
36	1355.787	1355.065	13.197	0.578	-2.621	24.155	33.134	98.67	1.0	8.663	11.0	-	-	-	-	8.501	-	-	-	-	1.764	-	-	-	-	1.194	-	-	-	-	8.663	-	-	-	-	-1.0	-	-	-	-	2.0	23.307	5.632	4.951	2.332	2.783	0.442	-0.859	8.459	14.849	0	0	0	0	0	0
37	1399.118	1399.044	12.325	2.187	0.983	15.103	24.749	1368.762	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	34.3	6.596	6.046	2.593	0.3	-1.944	-2.393	13.489	20.81	0	0	0	0	0	0
38	1224.464	1213.02	12.776	1.048	2.922	14.743	60.693	1147.346	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	21.696	7.309	6.35	1.221	2.577	-0.555	0.169	8.766	12.93	0	0	0	0	0	0
