i	mc_beam_e	mc_beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	beam_e	beam_m	qq_m	ln_m
39	1292.516	1287.596	17.583	2.973	0.64	104.731	72.847	709.64	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	113.761	23.917	15.686	0.321	0.465	3.067	-0.9	77.439	36.322	0	0	0	0	0	0
40	1112.581	1075.08	19.418	3.109	-2.47	600.68	77.126	831.579	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	617.259	73.872	55.365	0.229	0.193	0.937	-2.113	328.157	289.102	0	0	0	0	0	0
41	1281.423	1276.321	18.068	2.954	-0.187	97.113	20.789	1164.209	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	99.294	13.647	8.968	0.333	0.159	-2.826	2.133	42.575	56.719	0	0	0	0	0	0
42	1367.726	1367.378	10.476	2.779	2.531	29.547	19.115	1299.646	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	34.62	12.91	5.099	0.678	0.414	-0.998	1.254	21.514	13.106	0	0	0	0	0	0
43	1315.767	1313.359	106.129	2.968	0.015	614.928	90.208	1165.883	2.0	620.821	11.0	-11.0	-	-	-	157.422	4.958	-	-	-	0.259	1.292	-	-	-	-3.094	-1.436	-	-	-	615.662	5.159	-	-	-	-1.0	1.0	-	-	-	2.0	60.636	39.195	17.78	1.558	1.171	0.384	-0.521	40.342	20.294	0	0	0	0	0	0
44	1308.728	1305.537	27.781	1.192	2.771	29.895	11.937	1278.85	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	59.113	15.373	13.926	0.722	2.687	-0.677	-0.03	24.496	34.617	0	0	0	0	0	0
45	868.54	738.423	19.068	0.201	-2.321	95.724	32.769	280.531	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	111.453	13.888	6.139	3.004	0.756	0.618	1.294	101.467	9.986	0	0	0	0	0	0
46	1392.308	1392.228	14.734	0.534	1.136	28.928	55.44	982.377	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	33.028	12.369	7.014	2.476	2.486	-1.511	-2.996	20.548	12.48	0	0	0	0	0	0
47	1394.345	1394.253	30.187	1.055	2.799	34.705	75.357	1296.005	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	167.363	19.049	17.999	2.931	0.246	0.256	-0.981	92.685	74.679	0	0	0	0	0	0
48	927.108	800.984	18.24	1.746	-2.624	18.523	25.855	770.566	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	34.43	10.76	8.488	0.635	2.501	0.805	0.15	19.797	14.633	0	0	0	0	0	0
49	808.034	775.982	35.884	2.914	-2.916	158.772	22.767	63.075	1.0	5.03	-11.0	-	-	-	-	4.636	-	-	-	-	1.968	-	-	-	-	-1.228	-	-	-	-	5.03	-	-	-	-	1.0	-	-	-	-	2.0	166.628	33.438	7.762	0.224	0.668	0.571	-0.822	152.94	13.688	0	0	0	0	0	0
50	983.572	894.531	16.045	2.014	2.914	17.762	19.077	872.35	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	21.399	10.37	6.142	1.566	0.682	-0.41	0.084	10.957	10.442	0	0	0	0	0	0
51	1381.122	1380.952	47.186	2.877	-2.135	180.312	69.84	996.618	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	187.045	40.59	13.873	0.51	0.136	0.727	1.948	84.454	102.591	0	0	0	0	0	0
52	1381.201	1381.037	8.457	0.067	-0.237	125.888	169.42	1091.009	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	308.266	45.59	37.78	0.505	2.962	-3.022	0.198	94.972	213.294	0	0	0	0	0	0
53	1343.406	1342.115	3.45	3.079	0.17	55.054	12.679	1197.052	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	58.415	8.153	7.132	0.385	0.202	-1.912	1.665	22.502	35.913	0	0	0	0	0	0
54	1059.112	1058.537	33.302	3.019	2.475	272.469	31.845	585.411	1.0	193.66	11.0	-	-	-	-	116.818	-	-	-	-	0.648	-	-	-	-	1.589	-	-	-	-	193.66	-	-	-	-	-1.0	-	-	-	-	2.0	507.39	99.174	41.489	0.321	2.918	-1.415	-1.252	318.886	188.503	0	0	0	0	0	0
55	1403.736	1403.666	4.797	2.27	-1.294	6.269	15.769	1380.899	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	21.923	7.571	6.78	0.702	2.199	0.769	-3.045	12.7	9.223	0	0	0	0	0	0
56	1399.663	1399.582	12.126	2.242	-2.436	15.482	20.646	916.949	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	27.571	7.721	7.001	0.479	2.214	1.276	0.068	17.686	9.885	0	0	0	0	0	0
57	1002.22	926.263	33.722	3.07	-2.616	469.241	136.485	710.188	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	581.944	60.945	27.634	0.117	2.637	0.63	-2.384	523.17	58.774	0	0	0	0	0	0
58	1321.797	1318.999	5.599	2.867	-1.784	20.679	11.946	1291.49	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	53.559	17.413	14.213	0.547	2.12	0.534	-2.901	36.417	17.142	0	0	0	0	0	0
59	1376.906	1376.716	8.994	0.307	0.17	29.793	64.543	1252.924	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	55.499	12.284	8.085	2.835	0.661	2.594	-1.369	41.33	14.169	0	0	0	0	0	0
60	1378.866	1378.683	16.14	2.754	-3.072	42.712	28.134	1325.221	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	101.757	23.712	7.601	0.341	2.87	0.104	-2.965	72.298	29.458	0	0	0	0	0	0
61	1218.607	1205.849	8.889	0.437	-0.452	21.003	15.033	1155.517	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	31.672	15.322	7.234	2.307	2.19	2.974	0.185	21.634	10.038	0	0	0	0	0	0
62	1154.222	1127.159	8.098	0.473	-0.336	17.776	39.678	815.089	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	61.612	18.833	13.226	2.613	0.678	-2.841	0.673	38.637	22.975	0	0	0	0	0	0
63	1390.734	1390.66	40.916	3.002	-2.752	293.921	107.005	366.258	1.0	50.18	11.0	-	-	-	-	18.737	-	-	-	-	0.383	-	-	-	-	0.174	-	-	-	-	50.18	-	-	-	-	-1.0	-	-	-	-	2.0	255.999	41.342	20.2	0.357	0.15	0.293	3.122	118.856	137.143	0	0	0	0	0	0
64	871.103	717.938	0.777	3.128	-1.403	57.515	20.348	680.226	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	60.94	8.181	7.473	0.215	0.357	1.331	-1.852	39.087	21.852	0	0	0	0	0	0
65	1405.056	1404.984	41.47	0.553	-1.05	78.924	85.15	1315.18	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	85.381	27.622	21.343	2.583	2.393	2.576	1.445	52.429	32.951	0	0	0	0	0	0
66	1298.05	1294.011	24.444	0.628	-2.307	41.599	28.178	1217.072	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	45.894	17.008	8.881	2.252	2.721	1.074	0.365	22.961	22.933	0	0	0	0	0	0
67	1302.961	1302.523	16.04	3.1	0.82	387.196	93.869	530.147	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	403.817	50.867	39.464	0.259	0.2	-1.66	1.734	200.343	203.474	0	0	0	0	0	0
68	1036.749	1035.348	17.159	2.997	-0.154	118.849	91.062	187.686	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	131.133	21.203	20.118	0.24	0.574	-2.21	1.787	92.593	38.54	0	0	0	0	0	0
69	1224.404	1223.167	26.287	0.219	-1.444	120.754	32.532	1162.972	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	132.115	20.345	9.841	2.972	1.444	2.038	0.934	121.287	10.828	0	0	0	0	0	0
70	1362.755	1362.294	38.367	2.247	-1.455	49.191	29.961	1322.029	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	61.698	32.424	10.199	1.274	0.455	1.922	0.85	37.263	24.435	0	0	0	0	0	0
71	1162.279	1139.242	35.103	0.09	-0.081	388.464	71.129	943.023	1.0	340.75	-11.0	-	-	-	-	60.903	-	-	-	-	2.962	-	-	-	-	2.891	-	-	-	-	340.75	-	-	-	-	1.0	-	-	-	-	2.0	79.496	29.439	8.32	2.682	0.81	-0.189	-2.201	66.896	12.6	0	0	0	0	0	0
72	1397.232	1397.17	22.345	0.303	1.668	74.85	28.104	1316.404	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	80.842	12.681	11.587	2.948	2.099	-1.855	-1.053	66.127	14.716	0	0	0	0	0	0
73	762.162	483.616	23.733	1.349	-2.57	24.327	10.012	468.708	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	40.72	15.583	9.437	2.405	0.672	0.324	0.989	24.003	16.717	0	0	0	0	0	0
74	1306.348	1303.22	228.079	0.606	1.968	400.581	89.568	578.451	2.0	793.847	-11.0	11.0	-	-	-	479.229	140.752	-	-	-	2.316	1.457	-	-	-	-1.081	2.377	-	-	-	652.178	141.669	-	-	-	1.0	-1.0	-	-	-	2.0	288.991	166.962	47.06	0.862	2.345	1.932	-1.053	222.216	66.775	0	0	0	0	0	0
75	1068.094	1014.557	13.475	2.238	1.035	17.157	21.612	947.187	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	71.454	18.212	5.964	0.453	2.922	-2.339	0.257	43.396	28.057	0	0	0	0	0	0
76	1387.867	1387.778	20.028	3.105	-1.312	553.591	91.797	543.621	1.0	106.475	11.0	-	-	-	-	81.393	-	-	-	-	0.87	-	-	-	-	1.601	-	-	-	-	106.475	-	-	-	-	-1.0	-	-	-	-	2.0	513.307	95.422	31.559	0.205	0.938	-1.644	1.431	473.38	39.928	0	0	0	0	0	0
77	1394.883	1394.813	11.841	0.487	-1.11	25.282	14.68	1336.593	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	28.89	8.213	7.077	2.506	2.578	1.405	2.78	14.921	13.969	0	0	0	0	0	0
78	1251.489	1245.425	15.837	0.757	0.855	23.055	77.403	1161.277	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	70.046	36.375	20.999	1.43	2.378	-2.469	0.535	38.158	31.888	0	0	0	0	0	0
79	1042.011	981.402	33.146	0.102	-1.26	325.184	90.779	435.86	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	341.062	62.364	29.319	2.833	2.916	1.828	-1.374	209.289	131.772	0	0	0	0	0	0
80	722.985	265.95	21.814	0.879	-2.442	28.328	22.715	239.935	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	100.711	14.615	10.632	2.885	0.276	1.142	0.072	59.693	41.018	0	0	0	0	0	0
81	1130.833	1099.73	12.702	1.467	-2.136	12.77	29.851	1067.478	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	15.917	6.809	6.111	2.138	1.112	1.18	0.81	8.96	6.957	0	0	0	0	0	0
