i	mc_beam_e	mc_beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	beam_e	beam_m	qq_m	ln_m
12	1395.338	1395.268	87.9	0.828	-0.16	119.301	86.354	591.554	1.0	146.06	11.0	-	-	-	-	145.369	-	-	-	-	1.668	-	-	-	-	-2.463	-	-	-	-	146.06	-	-	-	-	-1.0	-	-	-	-	2.0	857.785	457.371	376.838	1.592	1.72	0.668	-2.65	473.172	384.613	0	0	0	0	0	0
13	851.676	654.861	59.76	0.332	2.661	183.381	134.958	101.811	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	404.79	97.14	63.72	2.788	0.618	-1.171	1.33	293.684	111.106	0	0	0	0	0	0
14	566.924	551.707	72.377	0.98	-1.628	87.132	148.911	118.313	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	178.859	82.515	78.742	1.511	2.167	0.455	2.666	83.151	95.708	0	0	0	0	0	0
15	1059.132	1052.361	109.086	1.81	-1.265	112.29	288.234	104.934	1.0	90.697	-11.0	-	-	-	-	80.422	-	-	-	-	2.051	-	-	-	-	1.619	-	-	-	-	90.697	-	-	-	-	1.0	-	-	-	-	2.0	463.817	236.879	201.49	1.283	1.578	2.149	-1.049	251.687	212.13	0	0	0	0	0	0
16	942.873	826.803	102.501	0.352	2.609	297.284	87.35	145.683	1.0	173.118	13.0	-	-	-	-	162.31	-	-	-	-	1.926	-	-	-	-	-0.812	-	-	-	-	173.118	-	-	-	-	-1.0	-	-	-	-	2.0	468.788	217.065	162.273	1.812	2.366	2.473	-0.438	232.808	235.98	0	0	0	0	0	0
17	1148.923	1122.593	55.552	2.893	-1.866	225.849	405.072	85.322	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	652.38	319.268	264.744	1.102	1.358	1.451	-1.654	374.675	277.705	0	0	0	0	0	0
18	1084.392	1038.665	29.492	2.944	-1.093	150.302	708.338	63.59	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	414.974	106.73	88.099	2.317	0.344	2.823	-0.082	151.455	263.518	0	0	0	0	0	0
19	1085.268	1053.908	16.248	0.327	0.583	50.587	98.099	467.154	2.0	114.114	11.0	-11.0	-	-	-	35.062	3.318	-	-	-	2.802	2.751	-	-	-	-0.899	2.888	-	-	-	105.389	8.725	-	-	-	-1.0	1.0	-	-	-	2.0	431.962	71.6	39.874	2.758	0.171	3.121	0.457	194.193	237.769	0	0	0	0	0	0
20	1078.278	1032.033	58.209	2.868	1.486	215.21	169.69	91.354	1.0	16.552	-13.0	-	-	-	-	12.968	-	-	-	-	0.9	-	-	-	-	1.659	-	-	-	-	16.552	-	-	-	-	1.0	-	-	-	-	2.0	477.589	238.995	170.821	0.981	1.358	-1.863	1.18	302.415	175.174	0	0	0	0	0	0
21	1399.191	1399.097	52.166	2.97	-1.491	305.184	146.005	145.087	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	336.053	66.558	46.69	0.771	0.198	2.424	0.177	97.928	238.124	0	0	0	0	0	0
22	1148.728	1122.046	148.101	2.521	-0.003	254.577	81.709	305.819	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	538.275	293.862	158.567	0.917	1.683	2.838	-0.583	376.397	161.879	0	0	0	0	0	0
23	1080.173	1057.192	272.971	1.022	1.155	320.049	307.251	97.366	1.0	22.074	-13.0	-	-	-	-	13.594	-	-	-	-	0.663	-	-	-	-	1.361	-	-	-	-	22.074	-	-	-	-	1.0	-	-	-	-	2.0	538.491	382.273	99.177	1.884	2.121	-2.052	0.87	421.18	117.31	0	0	0	0	0	0
24	890.148	864.174	166.283	1.662	0.968	166.984	158.706	89.189	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	512.005	325.855	161.873	1.713	1.205	-2.29	0.731	330.58	181.425	0	0	0	0	0	0
25	1379.19	1379.047	319.673	0.813	2.787	440.086	256.975	240.257	1.0	364.954	-11.0	-	-	-	-	207.274	-	-	-	-	2.538	-	-	-	-	-0.29	-	-	-	-	364.954	-	-	-	-	1.0	-	-	-	-	2.0	322.458	182.971	89.27	1.129	2.224	-0.743	2.122	206.985	115.473	0	0	0	0	0	0
26	1401.519	1401.448	371.203	2.19	0.842	455.768	57.422	98.655	1.0	18.973	13.0	-	-	-	-	18.674	-	-	-	-	1.748	-	-	-	-	1.653	-	-	-	-	18.973	-	-	-	-	-1.0	-	-	-	-	2.0	484.57	196.986	192.103	0.842	1.125	-2.109	-2.423	265.299	219.271	0	0	0	0	0	0
27	843.017	748.173	123.386	2.804	-2.008	372.118	146.379	77.724	2.0	88.467	11.0	-11.0	-	-	-	80.539	6.902	-	-	-	1.704	1.865	-	-	-	-1.114	3.079	-	-	-	81.254	7.213	-	-	-	-1.0	1.0	-	-	-	2.0	427.106	175.63	30.098	0.498	0.63	1.602	0.292	374.543	52.563	0	0	0	0	0	0
28	1383.118	1382.952	77.672	0.199	1.24	392.35	263.327	396.012	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	835.018	122.025	82.759	2.937	0.388	-2.635	-0.174	603.481	231.538	0	0	0	0	0	0
29	1400.871	1400.8	68.323	2.567	-2.898	125.66	139.591	488.215	1.0	98.116	11.0	-	-	-	-	78.389	-	-	-	-	2.216	-	-	-	-	-1.379	-	-	-	-	98.116	-	-	-	-	-1.0	-	-	-	-	2.0	766.821	291.832	185.448	0.658	2.425	0.981	-2.212	481.414	285.407	0	0	0	0	0	0
30	590.457	578.346	22.565	2.953	0.027	120.2	121.147	133.367	1.0	156.74	-11.0	-	-	-	-	109.236	-	-	-	-	0.771	-	-	-	-	-2.959	-	-	-	-	156.74	-	-	-	-	1.0	-	-	-	-	2.0	233.032	154.093	66.516	1.355	1.982	0.282	-2.781	159.417	73.615	0	0	0	0	0	0
31	1172.751	1172.035	75.589	0.713	0.835	115.545	265.083	131.463	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	517.525	278.222	205.504	1.906	1.525	-2.07	1.157	306.544	210.981	0	0	0	0	0	0
32	848.788	751.739	20.405	0.057	-1.03	355.503	389.125	128.3	1.0	25.797	-11.0	-	-	-	-	10.981	-	-	-	-	2.702	-	-	-	-	-1.935	-	-	-	-	25.797	-	-	-	-	1.0	-	-	-	-	2.0	607.031	210.425	198.113	1.581	2.6	0.742	-2.526	215.428	391.603	0	0	0	0	0	0
33	1160.75	1159.775	25.477	0.091	-1.855	280.007	109.096	595.992	2.0	56.247	13.0	11.0	-	-	-	42.222	3.248	-	-	-	2.142	0.566	-	-	-	-0.23	-2.57	-	-	-	50.192	6.054	-	-	-	-1.0	-1.0	-	-	-	2.0	580.074	112.06	97.838	0.71	2.891	-2.872	0.712	179.096	400.978	0	0	0	0	0	0
34	1139.539	1110.703	19.157	2.894	-1.728	78.266	135.545	355.134	1.0	127.359	11.0	-	-	-	-	54.635	-	-	-	-	0.443	-	-	-	-	0.948	-	-	-	-	127.359	-	-	-	-	-1.0	-	-	-	-	2.0	315.76	126.674	97.744	2.36	0.834	-3.033	-0.12	182.479	133.281	0	0	0	0	0	0
35	569.506	552.321	106.108	1.499	-0.348	106.384	115.351	95.902	1.0	45.093	13.0	-	-	-	-	12.122	-	-	-	-	2.869	-	-	-	-	-1.582	-	-	-	-	45.093	-	-	-	-	-1.0	-	-	-	-	2.0	176.299	64.436	60.582	0.713	2.14	-3.126	2.19	103.484	72.815	0	0	0	0	0	0
36	1389.951	1389.824	30.738	2.429	0.548	47.007	141.404	465.574	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	1013.222	467.963	467.674	1.249	1.823	2.161	-1.047	524.894	488.328	0	0	0	0	0	0
37	1279.633	1273.65	232.42	2.456	1.865	366.986	89.283	51.875	1.0	105.429	11.0	-	-	-	-	83.257	-	-	-	-	2.231	-	-	-	-	1.316	-	-	-	-	105.429	-	-	-	-	-1.0	-	-	-	-	2.0	472.772	266.74	47.621	0.753	0.621	-1.348	-1.855	390.277	82.495	0	0	0	0	0	0
38	1397.399	1397.329	144.293	0.363	-2.12	406.667	203.207	153.332	1.0	36.01	11.0	-	-	-	-	12.674	-	-	-	-	2.782	-	-	-	-	0.898	-	-	-	-	36.01	-	-	-	-	-1.0	-	-	-	-	2.0	799.585	225.047	90.217	2.752	0.493	0.798	-2.706	597.04	202.545	0	0	0	0	0	0
39	762.026	422.161	74.411	2.958	1.389	406.692	119.166	81.82	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	421.056	66.637	43.845	0.471	0.162	-1.13	-2.843	147.494	273.562	0	0	0	0	0	0
40	1332.757	1330.691	72.221	0.19	-1.557	382.692	358.769	172.747	1.0	520.044	-11.0	-	-	-	-	180.439	-	-	-	-	2.787	-	-	-	-	1.618	-	-	-	-	520.044	-	-	-	-	1.0	-	-	-	-	2.0	233.966	106.772	25.009	1.59	0.204	-1.728	-0.202	108.59	125.375	0	0	0	0	0	0
41	1188.7	1170.671	15.489	0.026	2.713	606.566	544.537	501.88	1.0	110.381	13.0	-	-	-	-	100.004	-	-	-	-	2.008	-	-	-	-	-1.378	-	-	-	-	110.381	-	-	-	-	-1.0	-	-	-	-	2.0	576.291	79.405	40.168	2.883	2.988	1.175	2.665	313.154	263.137	0	0	0	0	0	0
42	801.238	663.58	54.269	0.308	0.5	179.136	123.172	143.491	1.0	32.458	11.0	-	-	-	-	13.265	-	-	-	-	0.421	-	-	-	-	0.143	-	-	-	-	32.458	-	-	-	-	-1.0	-	-	-	-	2.0	320.717	104.883	90.869	1.65	2.702	2.54	-1.289	106.512	214.205	0	0	0	0	0	0
43	518.962	517.838	99.47	1.453	-0.566	100.166	115.904	104.088	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	150.3	77.883	50.644	2.02	1.101	3.102	1.692	93.256	57.044	0	0	0	0	0	0
44	770.769	478.802	53.391	0.221	2.43	243.612	90.546	240.363	1.0	108.051	13.0	-	-	-	-	55.416	-	-	-	-	2.603	-	-	-	-	0.719	-	-	-	-	108.051	-	-	-	-	-1.0	-	-	-	-	2.0	239.909	92.196	89.795	2.428	1.976	-2.726	-0.39	141.556	98.353	0	0	0	0	0	0
45	1348.404	1348.189	264.447	2.356	2.28	373.91	140.708	48.115	1.0	33.237	13.0	-	-	-	-	32.597	-	-	-	-	1.767	-	-	-	-	2.56	-	-	-	-	33.237	-	-	-	-	-1.0	-	-	-	-	2.0	439.125	278.532	31.027	1.0	0.325	-0.921	0.101	336.585	102.54	0	0	0	0	0	0
46	817.195	578.485	154.359	0.524	-1.044	308.242	135.216	280.097	1.0	91.625	13.0	-	-	-	-	66.032	-	-	-	-	2.337	-	-	-	-	1.059	-	-	-	-	91.625	-	-	-	-	-1.0	-	-	-	-	2.0	312.977	162.181	58.685	2.134	2.615	2.188	-1.849	192.556	120.422	0	0	0	0	0	0
47	918.788	786.161	128.546	2.877	2.029	492.386	128.984	60.496	1.0	56.932	13.0	-	-	-	-	29.493	-	-	-	-	2.597	-	-	-	-	-2.28	-	-	-	-	56.932	-	-	-	-	-1.0	-	-	-	-	2.0	560.993	100.628	82.52	0.38	0.294	-0.138	-1.861	274.078	286.914	0	0	0	0	0	0
48	1028.493	961.506	235.113	1.517	-1.499	235.448	24.578	104.511	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	425.458	317.045	86.63	1.491	1.984	1.745	-1.113	330.33	95.129	0	0	0	0	0	0
49	1299.47	1295.591	158.409	0.469	-1.942	350.557	149.026	112.315	1.0	86.682	-13.0	-	-	-	-	50.118	-	-	-	-	0.617	-	-	-	-	-2.912	-	-	-	-	86.682	-	-	-	-	1.0	-	-	-	-	2.0	446.254	137.34	74.08	2.573	2.727	0.667	1.593	261.482	184.772	0	0	0	0	0	0
50	791.704	502.558	40.839	3.053	2.523	461.91	111.01	146.698	2.0	52.47	-11.0	11.0	-	-	-	39.633	6.54	-	-	-	1.207	0.708	-	-	-	3.049	-2.871	-	-	-	42.41	10.06	-	-	-	1.0	-1.0	-	-	-	2.0	509.541	132.901	95.965	0.503	0.441	-1.152	1.374	281.615	227.926	0	0	0	0	0	0
51	1405.575	1405.503	177.061	1.887	-1.148	186.278	490.473	144.709	1.0	83.16	-13.0	-	-	-	-	66.212	-	-	-	-	0.921	-	-	-	-	1.95	-	-	-	-	83.16	-	-	-	-	1.0	-	-	-	-	2.0	614.217	312.13	208.446	1.11	2.186	1.726	-1.571	349.367	264.85	0	0	0	0	0	0
52	1401.204	1401.122	55.405	1.667	-0.457	55.663	495.21	151.275	2.0	327.861	11.0	11.0	-	-	-	284.436	7.704	-	-	-	1.111	2.312	-	-	-	1.109	-2.733	-	-	-	317.418	10.444	-	-	-	-1.0	-1.0	-	-	-	2.0	570.682	264.939	139.83	2.335	0.808	-2.717	-0.955	370.507	200.175	0	0	0	0	0	0
53	773.026	450.371	58.62	3.002	2.389	419.939	148.408	12.623	1.0	320.452	13.0	-	-	-	-	135.529	-	-	-	-	0.437	-	-	-	-	-0.866	-	-	-	-	320.452	-	-	-	-	-1.0	-	-	-	-	2.0	166.771	52.185	51.943	0.632	0.773	2.912	1.464	90.495	76.276	0	0	0	0	0	0
54	1279.546	1274.011	46.645	0.217	-2.291	216.214	127.278	117.887	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	609.837	221.696	175.446	2.536	1.015	0.966	-2.145	397.565	212.273	0	0	0	0	0	0
55	808.89	622.842	88.107	2.916	-2.0	393.335	95.904	261.455	1.0	41.512	11.0	-	-	-	-	13.563	-	-	-	-	0.333	-	-	-	-	0.613	-	-	-	-	41.512	-	-	-	-	-1.0	-	-	-	-	2.0	493.886	172.682	132.24	0.947	0.544	0.423	3.132	223.985	269.902	0	0	0	0	0	0
56	1398.265	1398.189	101.55	2.321	-0.932	138.869	770.881	115.89	2.0	66.532	-11.0	11.0	-	-	-	49.382	5.413	-	-	-	2.166	2.24	-	-	-	1.681	-1.093	-	-	-	59.631	6.902	-	-	-	1.0	-1.0	-	-	-	2.0	804.159	361.166	290.609	0.922	2.019	2.516	-0.657	455.976	348.184	0	0	0	0	0	0
57	853.484	759.7	102.972	2.5	-0.682	171.995	122.11	107.136	1.0	6.004	-11.0	-	-	-	-	4.997	-	-	-	-	0.984	-	-	-	-	2.234	-	-	-	-	6.004	-	-	-	-	1.0	-	-	-	-	2.0	296.489	177.576	80.216	1.146	0.977	2.388	-0.855	199.653	96.836	0	0	0	0	0	0
58	876.747	830.931	60.096	2.972	-2.102	355.883	56.485	105.365	1.0	5.538	-11.0	-	-	-	-	5.53	-	-	-	-	1.616	-	-	-	-	0.559	-	-	-	-	5.538	-	-	-	-	1.0	-	-	-	-	2.0	648.241	278.124	220.21	1.238	0.713	0.8	-2.406	310.292	337.949	0	0	0	0	0	0
59	732.806	673.121	181.898	1.37	1.074	185.612	122.252	204.057	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	328.383	205.094	75.176	1.387	2.356	-2.44	-0.375	221.04	107.343	0	0	0	0	0	0
60	1142.871	1114.484	150.664	2.12	-1.275	176.605	318.652	191.264	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	292.482	159.036	63.993	1.673	0.533	2.279	0.374	164.21	128.273	0	0	0	0	0	0
61	1163.631	1138.699	70.127	2.825	-2.655	225.23	574.252	318.404	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	645.379	171.593	120.78	0.42	2.524	1.093	-1.712	432.306	213.072	0	0	0	0	0	0
62	1041.541	979.066	77.623	2.935	0.539	379.062	75.886	458.934	1.0	18.853	11.0	-	-	-	-	13.968	-	-	-	-	2.307	-	-	-	-	-2.063	-	-	-	-	18.853	-	-	-	-	-1.0	-	-	-	-	2.0	711.849	266.806	201.634	0.573	1.716	-2.571	0.616	505.472	206.377	0	0	0	0	0	0
63	1147.385	1118.998	147.343	2.793	-0.528	430.78	216.584	110.111	2.0	351.423	11.0	-11.0	-	-	-	125.486	2.885	-	-	-	0.371	0.58	-	-	-	2.007	-2.823	-	-	-	346.154	5.269	-	-	-	-1.0	1.0	-	-	-	2.0	295.578	79.039	57.319	0.719	2.793	-2.639	-1.138	122.764	172.814	0	0	0	0	0	0
64	1374.548	1374.17	84.706	0.71	-1.351	129.897	470.977	62.491	1.0	100.127	-13.0	-	-	-	-	99.749	-	-	-	-	1.658	-	-	-	-	-1.732	-	-	-	-	100.127	-	-	-	-	1.0	-	-	-	-	2.0	691.343	421.552	243.014	1.688	1.735	1.456	-1.782	444.807	246.535	0	0	0	0	0	0
65	1382.411	1382.213	227.724	0.74	0.427	337.544	161.29	134.236	1.0	399.419	-11.0	-	-	-	-	54.897	-	-	-	-	3.004	-	-	-	-	-2.714	-	-	-	-	399.419	-	-	-	-	1.0	-	-	-	-	2.0	378.096	134.939	37.59	2.001	0.175	-2.688	-2.812	159.727	218.369	0	0	0	0	0	0
66	1309.541	1309.226	112.039	0.614	0.555	194.443	50.174	763.733	1.0	168.326	11.0	-	-	-	-	46.495	-	-	-	-	2.862	-	-	-	-	3.0	-	-	-	-	168.326	-	-	-	-	-1.0	-	-	-	-	2.0	631.411	155.668	148.909	2.617	0.495	2.86	-0.821	313.211	318.2	0	0	0	0	0	0
67	1248.332	1239.686	196.832	1.468	1.184	197.868	102.191	359.811	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	615.726	389.552	194.332	1.489	1.833	-2.048	1.002	413.616	202.11	0	0	0	0	0	0
68	1392.636	1392.564	66.447	2.075	1.648	75.889	331.952	114.179	1.0	163.154	-11.0	-	-	-	-	109.419	-	-	-	-	0.735	-	-	-	-	-1.181	-	-	-	-	163.154	-	-	-	-	1.0	-	-	-	-	2.0	463.238	218.495	167.321	2.197	1.161	2.275	-0.895	276.702	186.536	0	0	0	0	0	0
69	1401.632	1401.561	101.946	1.45	0.268	102.696	90.461	700.218	1.0	146.079	-11.0	-	-	-	-	145.229	-	-	-	-	1.679	-	-	-	-	-0.649	-	-	-	-	146.079	-	-	-	-	1.0	-	-	-	-	2.0	487.975	254.082	60.558	2.15	0.342	2.639	-1.456	306.17	181.805	0	0	0	0	0	0
70	786.42	560.592	148.16	2.765	1.766	403.026	224.997	98.785	1.0	59.947	-11.0	-	-	-	-	52.923	-	-	-	-	1.082	-	-	-	-	-2.817	-	-	-	-	59.947	-	-	-	-	1.0	-	-	-	-	2.0	404.183	134.684	37.565	0.747	0.191	-1.161	-0.017	206.156	198.028	0	0	0	0	0	0
71	1386.451	1386.346	178.661	2.329	-3.106	246.053	440.965	136.155	2.0	54.815	-11.0	11.0	-	-	-	32.422	5.736	-	-	-	0.733	1.132	-	-	-	-0.617	-0.37	-	-	-	48.477	6.338	-	-	-	1.0	-1.0	-	-	-	2.0	766.666	385.083	265.439	1.015	1.96	-0.331	2.531	463.749	302.917	0	0	0	0	0	0
72	1294.587	1290.28	258.633	1.687	-0.856	260.398	256.364	600.482	1.0	33.49	11.0	-	-	-	-	25.219	-	-	-	-	0.853	-	-	-	-	2.29	-	-	-	-	33.49	-	-	-	-	-1.0	-	-	-	-	2.0	617.442	189.225	143.19	0.843	2.729	2.29	-0.844	253.372	364.07	0	0	0	0	0	0
73	1074.143	1021.569	274.656	1.315	-1.165	283.89	114.364	229.303	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	292.17	175.433	99.98	1.736	1.973	1.92	2.075	181.615	110.555	0	0	0	0	0	0
74	864.908	790.932	10.008	0.072	2.399	139.681	46.598	139.26	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	466.465	160.601	159.032	2.535	1.045	-2.125	0.954	282.199	184.266	0	0	0	0	0	0
75	855.129	783.89	93.454	0.462	1.987	209.614	189.195	130.652	1.0	34.123	-13.0	-	-	-	-	16.939	-	-	-	-	2.622	-	-	-	-	-2.362	-	-	-	-	34.123	-	-	-	-	1.0	-	-	-	-	2.0	486.585	263.212	184.356	1.892	1.936	-0.582	2.746	278.855	207.73	0	0	0	0	0	0
76	983.117	979.991	139.778	0.954	0.966	171.306	62.218	746.758	1.0	82.554	11.0	-	-	-	-	56.864	-	-	-	-	2.382	-	-	-	-	-2.03	-	-	-	-	82.554	-	-	-	-	-1.0	-	-	-	-	2.0	550.657	213.068	139.663	2.387	0.629	-1.972	1.348	312.771	237.886	0	0	0	0	0	0
