i	mc_beam_e	mc_beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	beam_e	beam_m	qq_m	ln_m
0	1312.862	1312.67	67.581	2.627	0.369	137.346	37.958	644.761	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	446.198	110.341	92.51	0.41	2.537	-1.783	2.016	279.41	166.788	0	0	0	0	0	0
1	773.539	504.572	16.621	3.092	-1.159	331.958	116.489	212.959	1.0	25.449	11.0	-	-	-	-	21.78	-	-	-	-	1.027	-	-	-	-	2.778	-	-	-	-	25.449	-	-	-	-	-1.0	-	-	-	-	2.0	399.534	113.619	97.994	0.842	0.424	0.502	-2.639	153.861	245.673	0	0	0	0	0	0
2	1400.724	1400.654	209.11	2.161	-2.689	251.773	207.407	522.737	1.0	485.379	13.0	-	-	-	-	396.243	-	-	-	-	0.955	-	-	-	-	0.697	-	-	-	-	485.379	-	-	-	-	-1.0	-	-	-	-	2.0	530.457	287.022	89.977	2.289	0.683	-2.282	0.65	386.026	144.431	0	0	0	0	0	0
3	1162.115	1138.466	192.125	1.466	2.816	193.187	547.135	61.182	2.0	201.926	-11.0	11.0	-	-	-	183.565	7.074	-	-	-	1.245	1.045	-	-	-	0.218	-0.18	-	-	-	193.748	8.178	-	-	-	1.0	-1.0	-	-	-	2.0	569.819	204.685	200.439	0.949	2.422	-0.265	-2.902	253.557	316.262	0	0	0	0	0	0
4	1381.815	1381.521	143.206	1.7	2.943	144.418	87.602	193.905	1.0	648.5	-13.0	-	-	-	-	639.891	-	-	-	-	1.734	-	-	-	-	-0.175	-	-	-	-	648.5	-	-	-	-	1.0	-	-	-	-	2.0	521.763	272.685	225.309	1.424	1.215	2.909	3.052	275.9	245.863	0	0	0	0	0	0
5	1397.135	1397.065	27.634	3.083	2.722	470.33	20.725	194.285	2.0	626.935	11.0	-11.0	-	-	-	174.452	5.69	-	-	-	0.285	2.228	-	-	-	0.908	-2.551	-	-	-	619.746	7.189	-	-	-	-1.0	1.0	-	-	-	2.0	227.214	135.443	45.622	2.15	2.3	-1.888	-2.662	163.252	63.962	0	0	0	0	0	0
6	1123.39	1100.971	65.956	0.25	-2.491	266.213	529.056	124.198	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	704.095	136.983	89.144	2.848	0.429	1.225	-1.503	485.452	218.644	0	0	0	0	0	0
7	1398.703	1398.631	32.657	0.433	1.328	77.882	126.349	90.21	1.0	172.473	13.0	-	-	-	-	71.493	-	-	-	-	2.714	-	-	-	-	-1.404	-	-	-	-	172.473	-	-	-	-	-1.0	-	-	-	-	2.0	378.805	148.668	107.064	0.694	2.283	2.292	-0.748	235.815	142.989	0	0	0	0	0	0
8	1357.47	1356.646	46.681	1.424	-1.362	47.191	275.911	70.718	1.0	68.194	-13.0	-	-	-	-	43.095	-	-	-	-	0.684	-	-	-	-	1.212	-	-	-	-	68.194	-	-	-	-	1.0	-	-	-	-	2.0	807.736	162.112	145.108	2.756	0.404	2.154	-1.111	432.48	375.257	0	0	0	0	0	0
9	1391.437	1391.367	106.012	1.117	0.287	117.959	343.673	131.844	1.0	95.889	-11.0	-	-	-	-	78.253	-	-	-	-	0.955	-	-	-	-	-0.287	-	-	-	-	95.889	-	-	-	-	1.0	-	-	-	-	2.0	648.13	387.179	215.281	1.891	1.487	2.944	-0.394	431.373	216.757	0	0	0	0	0	0
10	1103.031	1063.108	92.442	0.548	-0.555	177.357	144.495	161.435	1.0	316.457	11.0	-	-	-	-	302.599	-	-	-	-	1.868	-	-	-	-	-1.382	-	-	-	-	316.457	-	-	-	-	-1.0	-	-	-	-	2.0	405.379	214.689	168.656	1.917	1.452	2.112	1.725	233.618	171.761	0	0	0	0	0	0
11	1340.968	1339.651	20.8	0.882	3.12	26.945	147.853	693.256	1.0	152.595	-11.0	-	-	-	-	120.081	-	-	-	-	2.236	-	-	-	-	-0.659	-	-	-	-	152.595	-	-	-	-	1.0	-	-	-	-	2.0	611.174	70.185	49.44	0.203	2.949	2.491	2.217	350.578	260.597	0	0	0	0	0	0
