i	mc_beam_e	mc_beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	beam_e	beam_m	qq_m	ln_m
3925	1165.365	1142.174	63.776	1.705	-1.198	64.352	90.21	977.134	1.0	5.49	-11.0	-	-	-	-	5.476	-	-	-	-	1.637	-	-	-	-	2.836	-	-	-	-	5.49	-	-	-	-	1.0	-	-	-	-	2.0	77.915	51.292	24.263	1.384	1.617	1.578	2.801	53.048	24.867	0	0	0	0	0	0
3926	1386.426	1386.225	83.611	0.385	1.7	222.791	126.02	1095.003	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	253.575	106.827	23.358	2.648	1.896	-1.469	1.576	228.259	25.316	0	0	0	0	0	0
3927	1311.203	1310.065	17.777	2.517	-2.894	30.384	20.97	1272.964	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	40.11	14.633	10.679	1.258	0.492	-0.396	1.213	16.222	23.888	0	0	0	0	0	0
3928	1394.95	1394.875	79.385	2.936	-3.118	389.172	91.935	904.639	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	403.99	57.252	53.138	0.204	0.471	-0.709	0.829	283.353	120.637	0	0	0	0	0	0
3929	1323.518	1321.532	187.985	1.823	-1.806	194.114	90.967	1041.829	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	209.841	107.739	83.441	1.054	1.724	1.497	1.128	124.344	85.497	0	0	0	0	0	0
3930	1404.507	1404.436	77.448	0.657	3.029	126.763	97.665	1227.554	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	158.044	60.053	56.556	2.126	2.411	-0.924	0.766	71.498	86.546	0	0	0	0	0	0
3931	1351.099	1350.199	144.041	1.584	2.102	144.054	87.525	987.153	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	152.587	99.798	44.774	1.372	1.955	-1.097	-0.912	102.701	49.886	0	0	0	0	0	0
3932	1330.941	1329.297	63.868	2.645	-0.67	134.073	92.455	1097.55	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	135.604	35.344	28.995	0.509	0.488	2.581	2.338	73.158	62.446	0	0	0	0	0	0
3933	1292.578	1289.275	28.346	2.811	-0.594	87.227	90.805	1158.628	1.0	15.5	-11.0	-	-	-	-	14.832	-	-	-	-	1.276	-	-	-	-	1.445	-	-	-	-	15.5	-	-	-	-	1.0	-	-	-	-	2.0	111.464	29.191	29.004	0.384	1.233	-2.68	1.48	79.444	32.021	0	0	0	0	0	0
3934	1385.049	1384.988	29.181	0.217	-2.587	135.656	126.172	1208.523	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	143.917	28.566	14.291	2.732	2.93	1.054	-0.725	74.833	69.083	0	0	0	0	0	0
