i	beam_e	beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	
0	1242.898	1232.487	26.18	2.983	0.538	166.243	44.748	464.053	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	173.33	33.87	10.978	0.411	0.126	-2.339	1.473	86.123	87.206	0	0	
1	1394.675	1394.605	55.307	2.181	-0.452	67.494	531.344	599.886	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	300.877	34.65	22.75	0.206	2.964	2.908	2.354	170.89	129.987	0	0	
2	852.005	846.412	49.793	0.941	2.254	61.621	202.289	253.835	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	756.101	309.995	265.947	0.968	2.325	-0.442	2.781	385.512	370.588	0	0	
3	745.172	509.751	8.259	0.043	1.998	191.779	133.438	158.285	1.0	5.897	11.0	-	-	-	-	5.793	-	-	-	-	1.758	-	-	-	-	0.746	-	-	-	-	5.897	-	-	-	-	-1.0	-	-	-	-	2.0	200.586	23.899	18.025	2.991	2.662	-0.495	2.928	160.177	40.41	0	0	
4	971.879	913.467	46.203	2.894	-0.971	188.202	241.97	336.172	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	441.319	175.365	137.75	0.663	1.867	1.632	-1.683	290.413	150.905	0	0	
5	1098.199	1097.914	34.4	2.217	2.822	43.089	674.974	335.421	1.0	308.743	11.0	-	-	-	-	41.343	-	-	-	-	0.134	-	-	-	-	-2.188	-	-	-	-	308.743	-	-	-	-	-1.0	-	-	-	-	2.0	489.267	53.977	36.833	2.907	0.145	0.422	-2.038	233.429	255.838	0	0	
6	1373.744	1373.451	183.563	1.874	2.616	192.342	111.155	1020.795	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	550.37	344.793	161.862	1.206	2.0	-0.583	2.495	371.337	179.034	0	0	
7	1400.032	1399.949	45.511	0.875	2.779	59.315	676.114	607.638	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	297.579	29.112	28.959	2.966	0.226	-1.03	0.31	166.672	130.907	0	0	
8	920.923	790.515	53.136	0.782	-0.265	75.426	364.231	289.146	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	294.93	35.576	27.386	2.934	0.233	-2.918	2.222	175.66	119.27	0	0	
9	1377.63	1377.261	59.096	2.888	-0.079	235.283	313.165	566.924	1.0	82.446	11.0	-	-	-	-	13.739	-	-	-	-	2.974	-	-	-	-	-0.614	-	-	-	-	82.446	-	-	-	-	-1.0	-	-	-	-	2.0	805.361	110.432	39.612	0.199	2.978	2.898	-0.363	560.958	244.402	0	0	
10	746.922	372.469	61.338	0.458	1.066	138.722	153.295	82.69	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	216.766	54.59	39.149	1.163	2.883	-1.397	3.139	61.672	155.095	0	0	
11	1398.697	1398.599	107.142	2.464	-2.316	170.867	835.43	555.106	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	651.194	240.968	136.027	0.637	2.527	0.674	-2.587	410.716	240.478	0	0	
12	648.66	209.343	70.096	0.387	-0.428	185.58	68.248	118.212	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	211.136	68.962	38.333	2.406	2.76	2.155	-2.307	105.389	105.747	0	0	
