i	beam_e	beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	
13	784.951	775.549	53.629	2.474	2.327	86.653	202.278	543.096	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	524.921	65.98	37.27	0.225	2.974	-0.215	-2.408	299.751	225.169	0	0	
14	1145.997	1131.133	159.694	1.71	-2.82	161.255	371.355	249.741	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	521.883	306.402	148.533	1.172	2.194	0.426	-2.602	337.467	184.415	0	0	
15	768.849	502.66	23.829	1.952	-2.017	25.673	82.57	45.798	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	69.891	14.557	13.506	2.633	0.362	1.658	0.544	30.746	39.145	0	0	
16	500.866	420.806	62.122	2.609	1.176	122.377	261.89	122.393	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	244.932	70.669	42.165	2.157	0.27	-1.332	2.87	86.103	158.829	0	0	
17	941.866	826.198	9.232	2.168	3.019	11.169	71.25	441.321	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	209.905	25.374	16.212	0.238	2.978	-0.024	-3.109	109.716	100.189	0	0	
18	309.546	225.175	44.236	2.631	-0.737	90.508	73.191	68.426	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	108.442	32.776	30.208	0.663	0.684	1.653	-3.044	54.786	53.656	0	0	
19	1398.266	1398.191	88.918	2.661	-1.499	192.483	797.193	487.246	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	718.694	205.513	117.719	0.473	2.669	1.763	-1.288	457.598	261.096	0	0	
20	1363.643	1363.033	9.648	3.003	-2.048	70.079	319.09	1016.583	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	286.203	34.404	29.525	2.82	0.169	0.179	3.059	110.256	175.947	0	0	
21	1383.305	1383.057	81.946	2.649	0.423	173.27	312.652	597.849	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	527.066	285.563	205.648	1.383	1.124	-2.907	0.16	298.331	228.735	0	0	
22	885.787	727.007	72.611	0.465	0.814	162.023	285.159	308.6	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	377.763	166.127	98.872	1.43	2.61	-2.621	0.306	180.702	197.061	0	0	
23	951.878	840.004	6.157	3.111	1.839	202.945	647.909	158.54	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	380.559	45.325	42.572	2.616	0.15	-0.257	3.01	92.958	287.601	0	0	
24	797.149	742.554	205.681	1.044	-0.79	237.891	395.79	270.344	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	482.628	318.58	113.309	1.628	2.3	2.314	-0.896	327.858	154.769	0	0	
25	1370.078	1369.969	47.036	1.814	-0.892	48.459	632.766	657.33	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	315.626	25.193	24.757	0.155	2.978	2.59	1.903	163.537	152.089	0	0	
26	1060.476	1048.94	34.074	1.121	0.39	37.829	608.933	376.046	1.0	6.069	11.0	-	-	-	-	3.622	-	-	-	-	0.64	-	-	-	-	-2.94	-	-	-	-	6.069	-	-	-	-	-1.0	-	-	-	-	2.0	667.27	128.036	99.108	0.407	2.841	-2.838	0.269	329.214	338.056	0	0	
27	1104.717	1087.42	25.023	0.39	-0.315	65.853	639.175	403.634	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	465.336	63.566	55.949	2.894	0.285	1.759	-1.784	261.798	203.538	0	0	
28	1109.946	1081.926	31.704	2.759	0.069	84.929	281.079	575.162	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	235.505	35.565	25.263	0.23	2.808	-2.311	1.878	157.556	77.948	0	0	
29	1029.635	966.308	61.479	1.593	-1.02	61.493	368.391	551.983	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	574.35	91.187	74.314	2.814	0.269	3.066	0.659	291.539	282.811	0	0	
30	1312.969	1310.409	27.397	2.291	0.197	36.462	86.175	494.437	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	674.411	72.912	48.292	0.209	2.991	2.975	-0.369	351.185	323.226	0	0	
31	988.96	979.532	48.729	2.13	-2.552	57.478	386.81	485.13	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	251.82	40.561	30.458	0.297	2.851	-0.083	1.568	142.827	108.994	0	0	
32	970.755	900.924	200.156	0.625	3.129	342.148	724.251	132.038	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	375.323	156.564	45.487	2.088	2.905	-0.086	0.242	180.659	194.664	0	0	
33	739.981	728.937	13.581	2.673	1.103	30.092	201.11	122.962	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	182.15	68.973	64.547	0.759	2.189	3.1	-0.234	100.752	81.398	0	0	
34	1111.715	1078.698	226.218	0.663	-1.037	367.775	203.668	144.693	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	432.204	251.561	25.43	2.452	1.034	2.114	-0.95	402.247	29.957	0	0	
35	1390.173	1390.094	110.501	1.06	-1.374	126.694	74.682	625.976	1.0	18.045	11.0	-	-	-	-	14.625	-	-	-	-	2.197	-	-	-	-	2.784	-	-	-	-	18.045	-	-	-	-	-1.0	-	-	-	-	2.0	670.742	294.89	257.843	2.199	1.037	2.813	0.051	367.199	303.543	0	0	
36	715.029	175.23	23.464	3.039	-2.892	228.93	109.036	64.198	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	249.828	40.968	25.565	0.675	0.144	-0.361	2.227	70.464	179.364	0	0	
37	670.454	521.664	14.89	3.005	3.015	108.98	142.072	295.48	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	136.494	41.406	34.286	0.774	0.482	0.779	-2.014	61.026	75.468	0	0	
38	812.776	564.437	84.443	0.2	-2.041	425.686	304.146	19.206	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	474.443	85.803	8.777	2.949	0.371	1.202	-0.575	448.59	25.853	0	0	
39	1398.458	1398.382	47.82	2.351	1.733	67.289	543.306	340.058	1.0	5.799	-11.0	-	-	-	-	4.056	-	-	-	-	2.367	-	-	-	-	1.723	-	-	-	-	5.799	-	-	-	-	1.0	-	-	-	-	2.0	868.494	307.714	259.945	0.727	2.425	-1.366	1.784	466.94	401.555	0	0	
40	790.425	718.01	32.281	0.142	-2.363	228.785	257.643	291.06	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	525.463	243.586	214.568	2.056	2.0	0.355	-2.849	281.467	243.996	0	0	
41	1394.444	1394.337	143.046	1.527	0.041	143.186	501.181	189.429	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	929.83	532.182	389.161	1.624	1.514	-3.084	0.063	536.68	393.15	0	0	
42	1170.26	1149.295	13.019	0.143	2.249	91.611	398.046	298.383	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	649.1	148.201	135.209	0.554	2.753	-0.954	2.182	288.363	360.738	0	0	
43	955.122	947.583	147.328	2.027	1.541	164.149	466.975	227.857	1.0	6.858	-11.0	-	-	-	-	3.926	-	-	-	-	0.61	-	-	-	-	-2.395	-	-	-	-	6.858	-	-	-	-	1.0	-	-	-	-	2.0	371.728	139.519	108.998	0.685	2.305	-2.379	-0.485	223.448	148.281	0	0	
44	1293.915	1288.842	68.585	0.324	0.829	215.186	777.669	192.352	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	230.249	70.529	13.95	2.518	3.011	-2.114	2.36	123.033	107.216	0	0	
45	486.127	473.247	81.859	0.969	0.845	99.287	81.615	88.242	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	228.226	145.329	64.158	1.861	1.767	-2.21	1.041	153.951	74.275	0	0	
46	499.624	399.097	24.264	2.9	-0.857	101.576	162.752	123.865	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	193.577	67.854	50.697	1.711	0.438	1.635	-1.8	73.281	120.296	0	0	
47	843.863	743.512	39.099	0.211	-1.087	186.481	228.304	43.479	1.0	10.916	-11.0	-	-	-	-	3.833	-	-	-	-	2.783	-	-	-	-	2.447	-	-	-	-	10.916	-	-	-	-	1.0	-	-	-	-	2.0	209.228	60.874	26.143	2.791	2.119	2.352	-0.335	177.918	31.309	0	0	
48	972.784	909.597	58.584	0.53	-0.241	115.888	365.396	516.254	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	343.231	39.52	36.339	0.328	2.975	-2.728	2.177	123.96	219.271	0	0	
49	1197.163	1191.09	16.812	3.055	-2.795	195.311	476.515	464.422	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	803.387	69.661	52.859	0.141	2.964	0.376	-2.757	499.278	304.109	0	0	
50	1168.965	1154.351	34.001	0.13	1.134	262.934	517.116	406.504	1.0	54.346	-13.0	-	-	-	-	11.817	-	-	-	-	2.922	-	-	-	-	2.989	-	-	-	-	54.346	-	-	-	-	1.0	-	-	-	-	2.0	268.012	34.586	25.028	2.912	2.923	-1.26	3.057	152.221	115.791	0	0	
51	1391.25	1391.168	51.466	2.781	-0.915	145.788	410.402	817.032	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	291.145	29.074	22.455	0.138	2.845	2.27	2.17	212.31	78.835	0	0	
52	1397.959	1397.888	106.318	2.327	-1.186	146.098	510.398	803.1	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	597.393	264.148	157.9	0.8	2.351	1.927	-1.233	370.967	226.426	0	0	
53	1379.481	1379.168	6.421	0.04	2.77	159.473	410.237	537.463	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	395.71	43.228	39.52	2.982	0.348	-1.265	1.75	279.438	116.272	0	0	
54	1148.934	1121.249	42.549	0.234	2.524	183.776	435.594	650.509	1.0	24.233	-11.0	-	-	-	-	3.589	-	-	-	-	2.993	-	-	-	-	0.173	-	-	-	-	24.233	-	-	-	-	1.0	-	-	-	-	2.0	559.966	48.894	40.207	2.988	0.169	0.043	-2.363	319.746	240.22	0	0	
55	1386.95	1386.802	53.096	2.19	-0.388	65.219	575.27	659.247	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	324.0	32.77	25.053	0.182	2.964	2.4	-3.061	181.387	142.612	0	0	
56	1274.404	1268.559	6.6	0.058	-1.175	113.84	340.927	471.081	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	758.646	71.445	70.402	2.977	0.22	-2.95	0.283	435.167	323.479	0	0	
57	1259.234	1257.675	18.571	0.794	-2.945	26.034	512.445	723.74	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	502.03	113.68	111.334	0.491	2.692	1.559	-1.418	242.756	259.274	0	0	
58	944.79	830.406	50.676	1.704	0.511	51.132	187.855	462.013	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	136.028	67.462	32.89	0.968	2.449	-3.119	-0.786	83.932	52.096	0	0	
59	1262.407	1256.942	38.779	2.026	-0.793	43.174	590.065	629.061	2.0	54.824	-11.0	13.0	-	-	-	38.446	9.514	-	-	-	1.978	0.825	-	-	-	2.183	-1.126	-	-	-	41.876	12.948	-	-	-	1.0	-1.0	-	-	-	2.0	633.734	268.048	230.758	2.158	0.863	2.091	-1.093	326.671	307.063	0	0	
60	1343.338	1342.248	41.601	0.519	-1.224	83.827	639.964	314.938	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	166.185	26.783	19.822	2.912	0.444	2.315	1.368	118.967	47.218	0	0	
61	1280.612	1277.114	86.806	2.991	-0.856	578.146	312.413	720.291	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	592.257	74.495	41.594	0.189	0.224	2.785	1.255	401.942	190.315	0	0	
62	830.228	606.334	23.355	3.064	-1.899	299.706	152.762	307.353	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	452.624	109.7	86.542	1.785	0.262	1.127	-2.046	114.775	337.849	0	0	
63	1319.803	1317.523	153.494	1.034	1.771	178.648	719.682	566.395	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	630.365	313.434	161.205	2.235	0.809	-1.462	1.592	402.674	227.692	0	0	
64	1232.166	1230.172	34.698	0.31	-0.556	113.731	260.409	203.858	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	987.028	121.699	87.115	2.918	0.201	2.517	-0.652	551.114	435.914	0	0	
65	1307.191	1305.033	15.845	0.148	-0.542	107.667	694.669	392.033	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	367.255	36.211	28.024	2.986	0.221	-2.857	0.714	235.374	131.88	0	0	
66	1368.605	1367.885	68.087	3.012	1.386	526.545	574.092	586.578	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	538.899	57.84	33.801	0.138	0.308	-2.275	-0.742	426.051	112.849	0	0	
67	1400.729	1400.631	16.684	2.91	0.874	72.81	463.429	890.085	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	480.825	48.259	38.437	2.904	0.141	-3.06	-0.233	207.395	273.43	0	0	
68	1402.554	1402.479	36.671	1.726	-2.577	37.115	721.64	418.698	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	543.34	174.118	137.784	0.665	2.575	0.444	-2.73	284.158	259.183	0	0	
69	1394.411	1394.343	7.324	0.4	-0.15	18.803	651.82	476.29	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	277.679	35.69	28.546	0.277	2.944	-3.094	0.099	131.031	146.648	0	0	
70	622.114	177.158	31.742	0.131	-2.134	242.917	45.909	71.856	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	261.983	45.935	35.712	2.879	2.668	1.894	-0.487	182.21	79.773	0	0	
71	1403.872	1403.802	72.461	2.946	0.533	372.327	597.226	10.713	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	1063.928	139.539	71.752	0.197	2.931	-2.863	0.022	716.614	347.315	0	0	
72	632.207	551.699	5.768	0.144	-0.338	40.138	172.96	191.815	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	183.694	30.803	25.053	0.435	2.909	2.875	-0.251	73.854	109.84	0	0	
73	1274.21	1267.834	50.796	0.566	1.783	94.716	252.638	1005.736	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	197.855	35.926	23.831	2.877	0.426	-1.798	-0.662	138.171	59.684	0	0	
74	1053.698	993.782	78.38	0.536	2.13	153.418	364.482	617.974	1.0	11.548	11.0	-	-	-	-	11.284	-	-	-	-	1.357	-	-	-	-	-1.387	-	-	-	-	11.548	-	-	-	-	-1.0	-	-	-	-	2.0	415.189	221.152	147.106	1.677	2.206	-1.281	1.718	228.6	186.589	0	0	
75	1073.871	1020.795	9.264	3.099	2.887	216.899	689.279	318.864	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	228.881	30.941	28.057	0.229	0.322	0.853	-1.988	138.694	90.186	0	0	
76	468.249	214.166	67.104	0.233	2.781	290.962	66.789	82.266	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	308.942	64.162	33.208	2.828	2.771	0.149	-1.59	215.822	93.12	0	0	
77	979.452	892.156	40.237	0.975	2.49	48.624	649.375	115.686	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	597.189	48.316	43.704	2.986	0.154	-1.669	0.572	312.39	284.799	0	0	
78	1399.92	1399.85	19.242	2.48	2.814	31.325	530.304	730.713	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	363.083	56.213	45.686	0.295	2.863	-1.168	1.655	195.184	167.9	0	0	
79	1329.307	1327.671	10.019	0.07	-2.394	142.843	433.227	153.99	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	151.969	22.271	13.6	2.904	2.879	0.349	-3.082	97.618	54.352	0	0	
80	724.39	252.329	16.196	0.03	-2.224	536.37	109.693	60.631	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	565.557	89.995	73.947	2.901	2.729	1.041	-2.074	378.738	186.819	0	0	
81	1400.304	1400.225	49.432	2.919	2.607	224.201	326.619	964.965	1.0	8.02	-11.0	-	-	-	-	2.211	-	-	-	-	2.862	-	-	-	-	1.36	-	-	-	-	8.02	-	-	-	-	1.0	-	-	-	-	2.0	466.139	68.119	29.936	0.196	2.879	-1.021	1.362	350.19	115.949	0	0	
82	804.98	640.751	93.417	2.858	-0.669	333.373	297.771	303.149	1.0	126.434	13.0	-	-	-	-	70.15	-	-	-	-	0.588	-	-	-	-	2.69	-	-	-	-	126.434	-	-	-	-	-1.0	-	-	-	-	2.0	305.604	98.66	86.454	0.496	1.449	2.29	-0.667	210.862	94.742	0	0	
83	1274.65	1268.33	42.168	0.154	2.991	275.203	386.017	802.518	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	744.528	97.964	77.521	2.945	0.337	0.713	-2.002	508.817	235.711	0	0	
84	800.424	795.451	26.186	0.631	0.338	44.395	320.573	122.296	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	490.696	50.609	32.806	2.948	0.146	-2.192	1.425	265.326	225.369	0	0	
85	932.206	867.349	18.965	1.614	1.284	18.983	48.853	124.308	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	46.265	15.982	8.533	0.756	2.655	-1.394	-2.849	26.427	19.839	0	0	
86	1382.562	1382.454	22.587	0.687	-0.191	35.613	393.747	983.257	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	585.812	220.377	211.46	2.326	0.866	-2.215	1.023	304.242	281.57	0	0	
