i	mc_beam_e	mc_beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	beam_e	beam_m	qq_m	ln_m
12	355.44	90.992	14.881	1.617	-2.462	14.897	90.992	0.003	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	25.253	7.583	7.361	0.691	2.427	0.589	0.774	12.996	12.257	0	0	0	0	0	0
13	647.416	92.133	38.82	2.624	-1.746	78.461	92.133	3.576	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	96.124	31.93	8.137	0.4	2.307	1.273	1.898	84.554	11.57	0	0	0	0	0	0
14	751.65	369.289	78.691	0.169	-1.161	467.472	369.289	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	534.475	169.468	90.82	2.601	2.672	2.004	-1.116	332.615	201.859	0	0	0	0	0	0
15	699.45	91.654	370.256	2.263	2.138	480.99	91.654	35.653	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	979.265	559.704	193.066	0.878	2.256	-1.085	1.899	728.44	250.825	0	0	0	0	0	0
16	628.239	91.334	9.395	3.101	-2.376	234.175	91.334	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	244.387	28.771	19.392	0.251	0.158	0.812	-2.307	119.175	125.212	0	0	0	0	0	0
17	249.08	91.707	18.485	3.061	1.351	230.437	91.707	1124.364	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	244.462	42.154	23.771	0.22	0.524	-1.711	1.492	193.749	50.713	0	0	0	0	0	0
18	694.454	637.64	70.813	2.805	2.706	214.554	637.64	0.059	1.0	21.629	11.0	-	-	-	-	20.648	-	-	-	-	1.873	-	-	-	-	2.788	-	-	-	-	21.629	-	-	-	-	-1.0	-	-	-	-	2.0	361.311	156.509	85.874	0.618	1.773	-0.383	2.802	272.293	89.018	0	0	0	0	0	0
19	699.139	92.003	38.989	0.121	-1.481	322.985	92.003	0.009	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	327.747	50.479	13.875	2.941	2.953	1.485	-2.17	253.168	74.579	0	0	0	0	0	0
20	209.641	91.043	34.658	2.74	1.228	88.657	91.043	2.404	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	337.728	163.883	133.569	1.711	0.906	-2.366	0.662	166.759	170.969	0	0	0	0	0	0
21	700.371	92.146	24.134	2.763	-0.935	65.274	92.146	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	69.547	17.013	10.26	0.623	0.271	2.573	1.571	29.935	39.612	0	0	0	0	0	0
22	161.884	102.053	19.912	0.209	-0.928	96.1	102.053	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	118.349	39.337	19.47	2.702	2.056	2.261	-0.832	95.495	22.854	0	0	0	0	0	0
23	310.352	90.141	24.005	3.045	2.718	247.856	90.141	0.001	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	263.973	36.561	32.75	0.209	0.417	0.648	-1.795	180.422	83.551	0	0	0	0	0	0
24	457.329	92.174	22.888	2.972	1.09	135.861	92.174	2.767	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	144.11	33.249	10.362	0.416	0.175	-2.057	1.075	83.388	60.721	0	0	0	0	0	0
25	673.647	106.591	7.752	0.017	2.329	468.023	106.591	0.001	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	478.152	43.768	40.961	2.976	2.945	-1.929	1.042	267.865	210.287	0	0	0	0	0	0
26	369.673	92.475	206.735	1.751	-2.632	210.136	92.475	20.317	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	395.024	286.989	80.47	1.657	0.912	0.485	-2.719	288.366	106.658	0	0	0	0	0	0
27	697.111	90.159	17.705	3.068	1.285	241.174	90.159	5.279	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	248.268	31.021	13.652	0.207	0.146	-1.986	0.989	153.745	94.523	0	0	0	0	0	0
28	159.702	139.892	16.401	2.935	1.24	80.136	139.892	1.751	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	150.675	58.416	42.109	0.597	1.747	-1.992	1.114	106.238	44.437	0	0	0	0	0	0
29	69.084	24.137	36.293	2.503	-1.883	60.868	24.137	983.456	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	62.743	23.798	12.516	0.792	0.458	1.234	1.307	34.177	28.565	0	0	0	0	0	0
30	90.582	14.478	3.01	3.045	-2.19	31.358	14.478	0.01	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	39.147	10.867	8.028	0.692	0.418	1.241	-1.793	18.889	20.258	0	0	0	0	0	0
31	220.769	91.574	13.411	3.115	-2.986	501.264	91.574	1163.435	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	650.081	60.072	59.403	0.107	2.342	1.565	-1.352	563.197	86.884	0	0	0	0	0	0
32	558.983	104.956	428.11	0.873	2.29	558.639	104.956	334.836	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	770.271	514.304	87.667	2.249	1.004	-0.885	2.089	662.346	107.925	0	0	0	0	0	0
33	487.525	434.681	70.703	0.376	-1.634	192.605	434.681	27.428	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	408.712	215.983	145.422	1.977	2.107	1.56	-1.557	237.695	171.017	0	0	0	0	0	0
34	661.893	144.757	107.976	0.288	-0.242	380.321	144.757	46.877	2.0	84.723	11.0	-11.0	-	-	-	24.511	18.73	-	-	-	0.532	0.54	-	-	-	0.095	0.008	-	-	-	48.318	36.405	-	-	-	-1.0	1.0	-	-	-	2.0	1017.664	287.724	145.707	2.736	0.537	3.067	0.023	729.492	288.172	0	0	0	0	0	0
35	708.96	91.187	221.34	2.318	-0.765	301.589	91.187	0.387	1.0	6.948	11.0	-	-	-	-	4.426	-	-	-	-	2.451	-	-	-	-	-0.312	-	-	-	-	6.948	-	-	-	-	-1.0	-	-	-	-	2.0	1204.367	544.175	323.483	0.814	2.333	2.435	-0.666	749.104	455.262	0	0	0	0	0	0
36	240.044	88.835	3.948	3.123	-2.226	210.747	88.835	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	226.721	29.083	25.146	0.157	0.755	0.988	-2.142	188.075	38.646	0	0	0	0	0	0
37	701.01	94.469	27.644	2.586	-2.247	52.373	94.469	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	57.733	16.568	12.979	0.854	0.408	0.577	1.304	22.767	34.967	0	0	0	0	0	0
38	498.47	91.74	16.099	2.582	-1.523	30.307	91.74	671.575	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	53.535	22.914	9.78	0.638	2.061	1.252	-2.522	41.823	11.712	0	0	0	0	0	0
39	417.15	93.253	19.468	0.038	1.614	513.811	93.253	0.041	1.0	8.575	11.0	-	-	-	-	2.039	-	-	-	-	2.902	-	-	-	-	-1.218	-	-	-	-	8.575	-	-	-	-	-1.0	-	-	-	-	2.0	520.031	57.785	41.933	2.928	2.966	-1.255	2.014	278.787	241.244	0	0	0	0	0	0
40	671.884	90.07	4.387	0.03	-1.905	145.989	90.07	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	156.96	22.048	20.964	2.838	2.871	0.014	2.957	77.664	79.295	0	0	0	0	0	0
41	150.668	90.737	46.667	0.078	-1.069	598.494	90.737	1217.245	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	723.336	118.195	74.597	2.955	1.192	2.359	-0.605	637.523	85.813	0	0	0	0	0	0
42	700.284	91.154	21.703	0.176	-0.361	123.932	91.154	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	131.582	27.864	8.059	2.903	2.313	2.992	0.452	119.412	12.17	0	0	0	0	0	0
43	700.421	89.831	36.297	2.819	1.862	114.496	89.831	24.134	1.0	113.489	-11.0	-	-	-	-	43.317	-	-	-	-	2.75	-	-	-	-	1.878	-	-	-	-	113.489	-	-	-	-	1.0	-	-	-	-	2.0	1250.042	266.546	187.916	0.371	2.762	-1.418	1.662	736.748	513.294	0	0	0	0	0	0
44	530.348	91.497	41.779	0.276	2.343	153.215	91.497	417.377	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	762.234	154.197	113.705	2.792	0.391	-1.012	2.052	462.498	299.736	0	0	0	0	0	0
45	599.592	89.876	30.566	2.641	-1.33	63.737	89.876	410.131	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	85.918	30.036	9.662	0.439	2.266	2.132	0.455	72.541	13.377	0	0	0	0	0	0
46	700.66	91.446	15.281	2.953	2.944	81.397	91.446	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	90.98	23.415	10.359	0.546	0.245	-0.539	2.087	47.668	43.312	0	0	0	0	0	0
47	705.934	91.388	8.99	2.179	-2.654	10.954	91.388	42.487	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	33.958	9.413	9.365	2.358	0.538	-0.579	1.564	14.34	19.618	0	0	0	0	0	0
48	629.003	585.154	65.81	0.711	-2.538	100.897	585.154	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	350.776	172.726	106.921	1.285	2.443	0.613	-2.522	183.054	167.721	0	0	0	0	0	0
49	676.656	207.075	37.482	3.028	-1.656	329.921	207.075	211.403	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	340.625	44.914	10.046	0.137	1.459	1.321	-2.48	329.838	10.786	0	0	0	0	0	0
50	1338.944	1337.533	49.767	1.467	2.287	50.036	1337.533	0.139	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	409.111	211.116	161.565	1.229	2.032	-0.936	2.181	225.524	183.587	0	0	0	0	0	0
51	241.287	240.558	8.793	2.763	0.705	23.767	240.558	172.035	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	262.334	122.614	114.455	1.118	1.888	-2.068	1.102	138.646	123.688	0	0	0	0	0	0
52	613.307	92.338	14.669	3.107	-1.677	429.501	92.338	273.867	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	438.501	39.813	26.353	0.174	0.13	1.792	-1.169	232.622	205.879	0	0	0	0	0	0
53	888.123	727.816	142.852	2.254	2.586	184.124	727.816	0.168	2.0	25.326	-11.0	11.0	-	-	-	11.969	8.605	-	-	-	2.282	1.127	-	-	-	1.754	-2.253	-	-	-	15.796	9.53	-	-	-	1.0	-1.0	-	-	-	2.0	946.772	415.315	342.812	0.902	2.124	-1.438	1.376	529.564	417.209	0	0	0	0	0	0
54	1172.09	1150.501	52.003	2.713	-1.335	125.093	1150.501	0.017	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	469.581	100.785	52.608	0.349	2.83	2.079	-0.793	297.811	171.77	0	0	0	0	0	0
55	460.087	89.228	13.892	3.077	-0.482	213.841	89.228	563.645	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	223.392	23.632	23.235	0.186	0.258	-2.381	1.362	129.021	94.371	0	0	0	0	0	0
56	696.529	93.269	12.115	3.116	-2.105	479.042	93.269	0.001	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	488.862	42.641	30.736	0.156	0.147	0.879	-2.324	276.731	212.132	0	0	0	0	0	0
57	592.703	89.758	45.512	0.25	2.099	183.625	89.758	0.092	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	188.991	38.731	9.832	2.819	2.985	-0.873	-1.771	125.717	63.274	0	0	0	0	0	0
58	954.363	847.953	33.668	2.959	-1.5	185.052	847.953	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	407.368	189.501	155.846	1.341	0.848	1.665	-1.471	195.455	211.912	0	0	0	0	0	0
59	699.871	87.437	26.913	2.551	2.005	48.32	87.437	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	80.345	27.631	10.783	0.482	2.436	-0.74	-2.574	62.104	18.241	0	0	0	0	0	0
60	700.454	90.936	29.267	3.011	0.982	224.364	90.936	0.428	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	234.726	40.842	11.783	0.191	0.817	-2.223	0.759	217.123	17.603	0	0	0	0	0	0
61	692.938	92.368	18.685	0.095	-0.366	196.607	92.368	52.814	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	518.629	53.321	42.077	0.333	3.022	2.0	-1.458	165.336	353.293	0	0	0	0	0	0
62	690.189	91.123	27.71	3.058	-1.334	333.582	91.123	0.002	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	340.347	40.694	14.79	0.198	0.114	2.019	-0.719	209.037	131.31	0	0	0	0	0	0
63	704.726	91.941	30.458	2.927	0.801	143.016	91.941	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	144.654	20.428	11.44	0.19	0.328	-2.562	-1.939	108.178	36.476	0	0	0	0	0	0
64	1376.908	1376.602	58.487	0.814	2.347	80.437	1376.601	0.139	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	1064.76	422.21	381.496	2.286	0.864	-1.017	2.091	560.729	504.031	0	0	0	0	0	0
65	135.084	90.604	6.517	0.063	2.487	102.779	90.604	252.811	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	138.491	44.29	37.945	2.614	2.182	-0.867	2.238	90.203	48.288	0	0	0	0	0	0
66	701.786	91.575	2.341	3.137	-2.055	521.635	91.575	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	531.002	40.678	39.207	0.154	0.149	1.955	-1.141	266.588	264.414	0	0	0	0	0	0
67	1172.509	1170.469	79.331	2.224	2.715	99.883	1170.469	0.127	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	750.083	353.337	274.506	0.996	2.12	-0.526	2.587	425.616	324.467	0	0	0	0	0	0
68	694.995	90.336	18.032	0.168	2.171	108.012	90.336	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	114.571	21.082	9.144	2.93	2.31	-1.417	0.708	100.96	13.611	0	0	0	0	0	0
69	194.748	90.706	2.242	0.017	2.477	130.822	90.706	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	151.009	33.566	31.447	2.442	2.809	-0.985	2.134	53.925	97.084	0	0	0	0	0	0
70	612.212	612.023	23.513	0.654	-1.384	38.668	612.023	3.539	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	376.432	152.592	136.002	0.977	2.348	2.489	-0.537	185.2	191.233	0	0	0	0	0	0
71	697.019	90.025	53.793	2.361	-1.942	76.445	90.025	6.868	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	1099.739	184.475	133.469	0.323	2.879	1.473	-1.559	581.053	518.686	0	0	0	0	0	0
72	90.279	56.645	17.207	2.888	0.072	68.545	56.645	2.375	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	85.139	30.678	13.831	0.496	0.96	3.077	-0.235	66.869	18.271	0	0	0	0	0	0
73	612.007	90.221	12.382	0.167	1.176	74.422	90.221	0.001	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	100.758	22.945	10.563	2.867	0.92	-1.96	1.188	86.019	14.739	0	0	0	0	0	0
74	1179.562	1159.651	169.593	1.488	1.681	170.181	1159.651	3.757	1.0	18.679	-11.0	-	-	-	-	18.393	-	-	-	-	1.746	-	-	-	-	1.562	-	-	-	-	18.679	-	-	-	-	1.0	-	-	-	-	2.0	456.596	319.277	132.055	1.54	1.727	-1.525	1.541	321.336	135.26	0	0	0	0	0	0
75	131.337	92.274	17.602	0.315	-1.249	56.772	92.274	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	81.065	35.966	18.373	2.374	2.308	1.869	-1.295	55.852	25.213	0	0	0	0	0	0
76	652.474	95.787	4.54	3.13	-0.883	387.301	95.787	142.235	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	398.464	36.73	35.06	0.175	0.193	-2.888	0.371	212.848	185.616	0	0	0	0	0	0
77	91.78	88.442	18.983	0.49	-2.157	40.332	88.442	2.657	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	104.739	22.542	20.842	2.797	0.653	-0.055	2.184	68.9	35.839	0	0	0	0	0	0
78	686.884	91.35	18.759	1.811	0.19	19.313	91.35	23.986	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	32.754	12.113	11.341	2.087	0.78	-2.332	2.663	15.306	17.449	0	0	0	0	0	0
79	384.239	93.653	9.142	0.039	-0.852	236.373	93.653	-0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	253.568	39.243	30.11	2.633	2.962	2.329	-0.801	83.384	170.184	0	0	0	0	0	0
80	913.296	777.299	15.397	0.035	2.235	438.646	777.299	1.788	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	866.36	155.071	153.935	0.744	2.893	-2.354	0.688	229.566	636.795	0	0	0	0	0	0
81	368.823	91.074	24.384	2.668	1.187	53.48	91.074	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	60.238	17.366	7.529	1.094	0.193	-1.821	-2.264	20.533	39.705	0	0	0	0	0	0
82	697.809	90.647	22.777	0.067	2.759	338.084	90.647	0.001	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	342.258	36.11	14.154	2.99	3.002	-0.549	2.324	240.151	102.107	0	0	0	0	0	0
83	700.83	90.364	4.537	0.009	-1.862	517.145	90.364	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	525.359	38.147	33.933	2.993	3.013	1.636	-1.458	258.317	267.042	0	0	0	0	0	0
