i	mc_beam_e	mc_beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	beam_e	beam_m	qq_m	ln_m
0	473.786	92.449	30.622	3.018	-2.739	249.146	92.449	0.118	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	259.745	31.713	23.449	0.187	0.285	-0.368	1.631	171.712	88.033	0	0	0	0	0	0
1	108.954	91.209	19.215	0.333	-2.521	58.808	91.209	-0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	95.082	40.735	21.601	2.526	1.477	0.554	-2.647	73.012	22.069	0	0	0	0	0	0
2	705.94	91.269	27.922	0.27	1.841	104.553	91.269	0.005	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	105.775	20.111	8.454	2.808	2.946	-1.437	-0.97	62.056	43.719	0	0	0	0	0	0
3	1265.458	1258.187	82.388	1.683	2.644	82.911	1258.187	11.376	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	703.563	282.366	200.101	0.833	2.462	-0.452	2.709	383.548	320.015	0	0	0	0	0	0
4	918.54	807.431	101.993	2.835	1.61	337.902	807.431	163.162	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	576.333	267.663	167.347	0.723	1.46	-1.389	1.84	406.683	169.65	0	0	0	0	0	0
5	705.279	93.675	34.691	2.941	-0.635	174.163	93.675	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	177.382	33.069	7.433	0.213	0.402	2.721	1.261	157.6	19.781	0	0	0	0	0	0
6	326.743	89.85	26.366	1.077	2.008	29.941	89.85	4.917	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	36.301	17.177	13.457	2.21	1.677	-1.6	-0.523	21.743	14.558	0	0	0	0	0	0
7	700.409	92.016	25.42	0.037	0.993	678.554	92.016	0.0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	686.639	61.441	36.452	3.001	2.993	-2.007	1.233	439.019	247.621	0	0	0	0	0	0
8	1071.656	1022.404	80.891	2.665	0.383	176.483	1022.404	0.009	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	474.573	260.903	182.025	1.201	1.274	-2.573	0.651	281.5	193.074	0	0	0	0	0	0
9	470.845	90.356	5.797	3.126	0.013	377.171	90.356	791.582	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	388.67	39.363	38.143	0.157	0.289	-1.842	1.446	253.544	135.126	0	0	0	0	0	0
10	700.339	92.679	24.164	0.065	-0.769	373.123	92.679	0	1.0	87.562	11.0	-	-	-	-	14.558	-	-	-	-	2.975	-	-	-	-	2.309	-	-	-	-	87.562	-	-	-	-	-1.0	-	-	-	-	2.0	293.131	27.842	18.311	2.962	3.005	2.327	-0.89	156.192	136.939	0	0	0	0	0	0
11	207.942	91.053	8.446	3.027	0.758	73.56	91.053	79.206	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	230.343	47.798	42.781	2.507	0.3	-1.522	1.77	85.262	145.081	0	0	0	0	0	0
