i	beam_e	beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	
0	1382.179	1381.992	19.604	1.223	-2.691	20.85	88.566	1278.494	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	37.043	10.277	9.329	0.763	2.66	0.436	0.466	16.136	20.906	0	0	
1	1062.414	1014.274	69.426	0.091	1.493	764.237	80.078	856.007	1.0	336.365	-11.0	-	-	-	-	158.463	-	-	-	-	2.651	-	-	-	-	-1.549	-	-	-	-	336.365	-	-	-	-	1.0	-	-	-	-	2.0	461.624	199.683	62.243	2.471	2.67	1.603	-1.621	322.671	138.953	0	0	
2	1384.601	1384.462	83.687	0.35	-0.727	243.964	78.099	137.845	1.0	590.616	-11.0	-	-	-	-	253.112	-	-	-	-	2.699	-	-	-	-	2.376	-	-	-	-	590.616	-	-	-	-	1.0	-	-	-	-	2.0	358.985	110.929	61.27	0.622	0.376	-0.768	-0.815	191.697	167.288	0	0	
3	354.584	282.15	36.646	2.948	-0.537	190.147	80.716	78.25	1.0	141.202	-13.0	-	-	-	-	123.167	-	-	-	-	1.06	-	-	-	-	2.681	-	-	-	-	141.202	-	-	-	-	1.0	-	-	-	-	2.0	165.794	75.226	33.179	0.694	0.885	-0.04	-1.459	119.183	46.611	0	0	
4	1368.368	1368.034	87.763	0.54	1.013	170.738	79.879	1044.276	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	175.861	64.782	24.053	2.678	2.183	-2.035	-2.385	145.979	29.882	0	0	
5	1335.345	1333.814	29.049	2.599	0.651	56.211	80.159	1241.41	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	64.079	19.537	18.224	0.757	0.586	3.128	-1.768	29.059	35.019	0	0	
6	854.77	661.22	50.162	2.749	2.156	131.102	79.849	451.985	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	165.898	62.421	15.926	1.121	0.173	-1.168	1.367	70.587	95.312	0	0	
7	1397.038	1396.972	21.594	3.056	0.22	251.179	82.45	80.732	1.0	52.527	-11.0	-	-	-	-	7.561	-	-	-	-	2.997	-	-	-	-	-0.456	-	-	-	-	52.527	-	-	-	-	1.0	-	-	-	-	2.0	1028.366	69.71	48.141	0.11	3.017	-2.881	0.279	638.547	389.819	0	0	
8	1268.051	1261.642	82.226	2.974	2.517	494.348	78.897	79.079	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	498.911	74.756	22.868	0.189	0.23	-0.901	0.479	397.891	101.02	0	0	
9	1396.651	1396.581	90.229	0.416	1.307	223.126	81.233	805.063	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	235.409	89.663	12.273	2.716	2.027	-1.698	2.992	220.414	14.995	0	0	
10	1194.583	1187.966	295.602	2.641	-0.685	616.3	70.883	1031.161	1.0	580.426	11.0	-	-	-	-	312.5	-	-	-	-	0.569	-	-	-	-	2.385	-	-	-	-	580.426	-	-	-	-	-1.0	-	-	-	-	2.0	79.43	46.752	16.577	1.185	0.684	-1.204	2.443	51.6	27.83	0	0	
11	846.574	645.503	72.705	2.917	0.048	326.862	80.333	80.247	1.0	341.235	13.0	-	-	-	-	100.307	-	-	-	-	0.298	-	-	-	-	-0.598	-	-	-	-	341.235	-	-	-	-	-1.0	-	-	-	-	2.0	175.476	113.528	50.758	1.405	2.051	2.816	2.807	115.482	59.994	0	0	
12	1333.017	1332.073	83.602	2.908	2.911	361.684	81.009	1133.056	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	481.453	52.806	30.835	0.129	2.631	-0.254	-0.191	415.582	65.871	0	0	
13	1239.799	1229.048	74.145	0.536	-3.11	145.178	80.131	991.992	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	162.023	44.473	29.784	1.921	2.874	0.076	-0.036	48.883	113.14	0	0	
14	1337.35	1336.859	38.721	3.072	0.267	556.669	79.661	1197.805	1.0	406.637	11.0	-	-	-	-	179.813	-	-	-	-	0.458	-	-	-	-	0.887	-	-	-	-	406.637	-	-	-	-	-1.0	-	-	-	-	2.0	349.684	197.882	82.818	0.862	1.324	-1.96	2.726	262.026	87.658	0	0	
15	804.904	679.064	40.704	0.411	2.418	101.878	80.655	78.332	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	112.96	39.28	18.671	2.597	2.561	-1.193	0.538	76.98	35.98	0	0	
16	977.055	882.855	25.422	3.09	-3.053	489.301	80.677	706.078	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	508.919	65.008	44.816	0.223	0.219	0.611	-2.243	302.119	206.8	0	0	
17	1237.792	1231.313	499.908	1.49	-2.334	501.55	81.388	981.799	1.0	490.261	-11.0	-	-	-	-	453.54	-	-	-	-	1.96	-	-	-	-	0.684	-	-	-	-	490.261	-	-	-	-	1.0	-	-	-	-	2.0	173.181	59.237	27.872	0.563	0.494	1.299	2.464	113.108	60.073	0	0	
18	754.103	399.181	37.108	0.117	-2.608	316.835	80.786	80.074	1.0	54.458	13.0	-	-	-	-	41.554	-	-	-	-	0.868	-	-	-	-	-2.967	-	-	-	-	54.458	-	-	-	-	-1.0	-	-	-	-	2.0	359.159	51.858	25.621	2.886	2.974	0.374	0.282	205.656	153.503	0	0	
19	1344.482	1344.139	32.292	2.955	2.17	174.327	81.357	80.194	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	542.226	58.179	25.893	0.164	3.0	-0.96	2.196	358.545	183.681	0	0	
20	1376.102	1375.91	189.054	1.183	2.325	204.241	90.04	80.173	1.0	548.042	-11.0	-	-	-	-	507.272	-	-	-	-	1.959	-	-	-	-	-0.804	-	-	-	-	548.042	-	-	-	-	1.0	-	-	-	-	2.0	356.106	223.911	103.826	1.199	1.153	2.41	2.204	241.033	115.073	0	0	
21	1381.987	1381.793	25.828	2.862	1.564	93.727	79.72	78.099	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	104.662	32.245	9.966	0.402	0.607	-1.843	0.553	86.197	18.465	0	0	
22	1394.373	1394.276	99.441	2.914	-1.629	441.384	81.35	904.034	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	452.169	71.047	51.567	0.404	0.193	0.995	2.264	183.048	269.12	0	0	
23	1379.021	1378.86	60.911	1.743	1.778	61.828	75.094	1208.083	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	67.603	38.711	25.638	1.309	1.561	-1.098	-1.77	40.554	27.049	0	0	
24	1389.53	1389.45	188.627	1.643	1.589	189.118	79.7	1100.764	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	218.885	193.301	13.321	1.42	2.442	-1.618	0.344	197.035	21.85	0	0	
25	1043.322	981.788	33.415	3.081	-2.035	553.417	80.133	869.558	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	661.002	61.286	58.868	0.104	2.073	2.327	-0.253	589.435	71.567	0	0	
26	1167.1	1149.566	67.377	0.212	-1.866	319.679	71.976	990.123	1.0	428.336	-11.0	-	-	-	-	98.822	-	-	-	-	2.909	-	-	-	-	1.799	-	-	-	-	428.336	-	-	-	-	1.0	-	-	-	-	2.0	147.784	43.114	35.583	0.546	0.648	0.013	-1.584	84.928	62.856	0	0	
27	1230.722	1219.668	76.946	0.1	2.943	771.235	81.494	1046.104	1.0	6.079	11.0	-	-	-	-	5.255	-	-	-	-	2.097	-	-	-	-	-1.045	-	-	-	-	6.079	-	-	-	-	-1.0	-	-	-	-	2.0	882.435	106.822	53.063	3.01	0.931	0.29	-2.103	814.735	67.7	0	0	
28	1085.448	1050.925	12.003	3.025	2.932	103.528	79.8	620.202	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	106.274	11.877	8.47	0.14	0.432	0.516	-1.404	85.638	20.635	0	0	
29	1129.532	1099.238	132.428	0.476	-2.826	289.248	80.088	78.923	1.0	217.352	-11.0	-	-	-	-	75.095	-	-	-	-	2.789	-	-	-	-	0.241	-	-	-	-	217.352	-	-	-	-	1.0	-	-	-	-	2.0	648.304	107.946	86.168	0.272	2.781	-3.016	0.225	403.0	245.304	0	0	
30	1145.47	1131.614	39.142	2.833	0.941	129.024	79.732	81.216	1.0	448.3	13.0	-	-	-	-	432.218	-	-	-	-	1.302	-	-	-	-	-1.781	-	-	-	-	448.3	-	-	-	-	-1.0	-	-	-	-	2.0	401.544	270.148	127.213	1.486	1.718	1.437	1.323	272.498	129.046	0	0	
