i	beam_e	beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	
31	1398.293	1398.212	56.168	3.01	-1.439	427.516	82.316	860.655	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	437.493	76.132	22.224	0.219	0.263	1.553	-1.974	350.383	87.11	0	0	
32	1101.239	1072.081	31.172	0.076	1.436	408.015	78.151	548.308	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	419.667	44.941	34.301	2.967	2.919	-0.84	3.067	261.369	158.298	0	0	
33	1351.84	1351.013	30.178	2.587	1.081	57.34	80.673	1249.646	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	102.848	42.575	26.9	1.572	0.504	-1.381	2.542	43.775	59.073	0	0	
34	1377.76	1377.487	40.855	3.03	-1.203	367.942	81.964	921.118	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	379.128	52.846	17.39	0.152	0.676	1.667	-2.157	350.44	28.688	0	0	
35	1361.523	1361.267	53.444	2.855	-0.954	188.961	83.613	79.137	1.0	603.551	11.0	-	-	-	-	124.96	-	-	-	-	0.209	-	-	-	-	2.458	-	-	-	-	603.551	-	-	-	-	-1.0	-	-	-	-	2.0	430.345	89.631	15.134	2.902	2.803	-0.531	2.414	382.68	47.665	0	0	
36	1401.977	1401.905	75.934	0.41	1.832	190.609	79.849	1093.091	2.0	457.935	-11.0	11.0	-	-	-	82.147	4.402	-	-	-	2.959	2.326	-	-	-	2.11	-0.375	-	-	-	451.886	6.049	-	-	-	1.0	-1.0	-	-	-	2.0	203.558	58.621	33.219	2.748	2.365	-1.737	-0.487	155.004	48.555	0	0	
37	1282.301	1279.549	239.32	2.657	-1.989	514.142	79.253	987.248	1.0	375.963	11.0	-	-	-	-	199.804	-	-	-	-	0.56	-	-	-	-	0.851	-	-	-	-	375.963	-	-	-	-	-1.0	-	-	-	-	2.0	167.348	73.872	18.282	0.587	0.62	2.279	0.741	134.965	32.383	0	0	
38	1394.928	1394.858	20.005	2.9	-2.699	83.577	79.498	82.448	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	174.807	32.273	12.269	0.257	2.857	0.448	-2.687	129.455	45.352	0	0	
39	1266.276	1262.499	30.041	0.157	0.158	191.754	80.731	88.48	1.0	16.022	-11.0	-	-	-	-	3.553	-	-	-	-	2.918	-	-	-	-	-2.384	-	-	-	-	16.022	-	-	-	-	1.0	-	-	-	-	2.0	196.862	24.243	18.662	2.885	2.952	-2.314	2.362	95.905	100.957	0	0	
40	1349.444	1348.254	79.056	0.429	-2.794	189.909	79.418	1054.111	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	202.046	81.155	15.951	2.617	2.686	0.545	-1.256	164.949	37.098	0	0	
41	1255.514	1248.508	42.583	0.756	-2.738	62.075	80.77	1044.081	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	66.493	30.895	14.379	2.309	2.442	0.172	0.919	42.891	23.602	0	0	
42	1341.946	1340.813	70.311	1.541	-2.979	70.342	80.867	1223.768	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	98.023	57.022	18.356	1.139	2.567	0.363	-0.504	63.297	34.726	0	0	
43	1221.544	1213.047	554.8	2.238	-2.174	706.191	80.201	1053.28	1.0	534.317	11.0	-	-	-	-	384.659	-	-	-	-	0.804	-	-	-	-	0.877	-	-	-	-	534.317	-	-	-	-	-1.0	-	-	-	-	2.0	178.093	69.138	63.318	2.214	0.79	1.66	0.898	87.691	90.402	0	0	
44	1132.956	1111.829	86.968	0.272	-2.421	323.456	79.674	724.724	1.0	27.337	-11.0	-	-	-	-	3.596	-	-	-	-	3.01	-	-	-	-	-0.24	-	-	-	-	27.337	-	-	-	-	1.0	-	-	-	-	2.0	341.767	92.583	28.13	2.672	2.927	1.029	-0.894	205.474	136.292	0	0	
45	1384.623	1384.309	39.334	0.164	2.022	241.382	79.804	81.662	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	267.748	39.958	22.755	2.976	1.53	-0.538	-2.426	243.751	23.997	0	0	
46	1131.745	1099.971	48.764	3.016	-0.376	389.574	83.642	388.194	1.0	354.901	11.0	-	-	-	-	118.823	-	-	-	-	0.341	-	-	-	-	-2.761	-	-	-	-	354.901	-	-	-	-	-1.0	-	-	-	-	2.0	397.467	46.972	36.193	0.342	0.141	-2.743	1.628	140.362	257.105	0	0	
47	1360.295	1359.608	36.595	0.772	-2.104	52.438	81.518	1240.799	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	77.495	49.203	13.632	2.015	2.375	1.159	-1.649	56.278	21.217	0	0	
48	565.633	545.522	181.575	1.984	1.873	198.255	80.356	79.751	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	572.352	138.182	46.351	0.422	2.941	-1.371	-0.957	337.615	234.737	0	0	
49	1275.039	1270.433	120.614	2.878	-2.358	462.649	78.853	1072.017	1.0	5.637	-11.0	-	-	-	-	3.141	-	-	-	-	0.591	-	-	-	-	0.453	-	-	-	-	5.637	-	-	-	-	1.0	-	-	-	-	2.0	474.724	80.48	44.139	0.583	0.137	0.547	1.251	146.813	327.911	0	0	
50	983.429	893.075	40.214	2.211	0.313	50.147	80.831	724.058	1.0	5.29	-11.0	-	-	-	-	4.592	-	-	-	-	1.052	-	-	-	-	-0.696	-	-	-	-	5.29	-	-	-	-	1.0	-	-	-	-	2.0	57.014	30.939	14.881	1.016	0.944	3.123	-2.086	37.143	19.871	0	0	
51	1402.432	1402.361	58.132	0.099	-0.273	589.993	79.343	1162.948	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	850.964	89.567	34.999	3.017	0.272	3.082	0.3	719.634	131.33	0	0	
52	1122.086	1096.201	87.938	2.907	-0.842	377.899	80.713	546.309	1.0	121.586	11.0	-	-	-	-	62.229	-	-	-	-	0.537	-	-	-	-	0.983	-	-	-	-	121.586	-	-	-	-	-1.0	-	-	-	-	2.0	288.14	65.076	31.144	0.626	0.178	2.848	-2.98	112.204	175.936	0	0	
53	1123.875	1088.037	75.039	0.209	0.765	360.948	79.792	945.1	2.0	337.636	-11.0	13.0	-	-	-	56.208	5.532	-	-	-	2.971	2.133	-	-	-	3.105	-1.935	-	-	-	331.095	6.541	-	-	-	1.0	-1.0	-	-	-	2.0	79.656	50.118	18.67	2.094	1.456	-1.885	-0.349	59.787	19.869	0	0	
54	1400.004	1399.932	127.962	0.22	2.305	587.653	72.636	1218.765	1.0	617.653	-11.0	-	-	-	-	125.718	-	-	-	-	2.937	-	-	-	-	-1.703	-	-	-	-	617.653	-	-	-	-	1.0	-	-	-	-	2.0	125.879	60.703	49.814	1.573	0.966	0.049	0.579	62.557	63.322	0	0	
55	1056.979	1054.778	260.874	2.603	-2.004	508.203	81.299	905.144	1.0	5.668	11.0	-	-	-	-	3.953	-	-	-	-	2.369	-	-	-	-	2.07	-	-	-	-	5.668	-	-	-	-	-1.0	-	-	-	-	2.0	604.77	242.818	43.902	0.468	2.355	0.978	2.206	539.762	65.009	0	0	
56	1111.24	1069.189	66.653	2.991	-1.697	443.532	84.517	938.777	1.0	566.166	11.0	-	-	-	-	322.549	-	-	-	-	0.606	-	-	-	-	-0.544	-	-	-	-	566.166	-	-	-	-	-1.0	-	-	-	-	2.0	375.52	336.835	33.012	1.611	1.951	2.505	1.471	339.398	36.122	0	0	
57	1149.067	1122.485	67.234	0.19	-2.693	356.243	80.647	908.902	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	469.158	91.586	52.322	1.379	3.0	1.048	-1.283	95.402	373.756	0	0	
58	806.859	550.397	47.71	0.234	-0.685	205.6	83.007	80.863	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	330.622	48.653	36.63	0.762	2.997	1.677	-2.622	74.921	255.702	0	0	
59	1382.911	1382.841	93.667	2.979	-1.909	577.89	81.642	1259.693	1.0	541.732	11.0	-	-	-	-	122.954	-	-	-	-	0.229	-	-	-	-	1.48	-	-	-	-	541.732	-	-	-	-	-1.0	-	-	-	-	2.0	71.461	31.285	20.096	1.784	0.573	-1.54	-0.372	33.361	38.1	0	0	
60	1405.449	1405.376	34.236	0.308	-2.843	112.957	80.27	1257.372	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	137.611	35.782	15.748	2.837	1.195	0.75	-1.142	119.985	17.626	0	0	
61	1271.452	1264.861	69.464	2.954	2.631	372.827	80.545	823.073	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	385.331	58.298	41.257	0.236	0.323	0.124	-1.504	253.512	131.819	0	0	
62	955.402	848.315	61.191	1.178	0.98	66.223	80.279	671.488	1.0	6.739	-11.0	-	-	-	-	6.066	-	-	-	-	1.121	-	-	-	-	-2.494	-	-	-	-	6.739	-	-	-	-	1.0	-	-	-	-	2.0	81.907	36.982	26.708	2.327	1.226	-1.924	-2.494	52.337	29.569	0	0	
63	1124.17	1112.822	66.128	2.98	-2.559	410.644	77.696	82.327	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	420.735	42.751	41.172	0.281	0.159	-0.066	1.261	159.602	261.133	0	0	
64	1022.697	1018.172	17.869	1.176	1.725	19.359	86.457	923.092	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	55.208	18.865	16.065	0.877	2.534	-0.513	-2.591	26.469	28.739	0	0	
65	1377.565	1377.495	56.882	0.352	2.123	165.033	79.053	1030.438	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	171.76	48.768	10.167	2.621	2.997	-0.903	-1.61	101.067	70.693	0	0	
66	373.263	373.238	46.851	1.299	0.236	48.635	82.087	81.042	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	254.675	108.705	62.297	2.302	0.636	-2.802	0.418	146.502	108.173	0	0	
67	1366.327	1366.164	246.035	0.657	1.128	402.739	82.027	665.323	1.0	639.437	-11.0	-	-	-	-	454.391	-	-	-	-	2.351	-	-	-	-	-1.784	-	-	-	-	639.437	-	-	-	-	1.0	-	-	-	-	2.0	371.888	267.143	34.232	0.99	2.332	1.573	-1.749	324.119	47.769	0	0	
68	1132.526	1102.074	86.664	1.562	2.099	86.668	80.916	920.265	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	101.715	79.691	18.114	1.577	1.588	-1.244	0.035	81.874	19.842	0	0	
69	1405.629	1405.558	258.252	0.709	0.523	396.679	80.797	857.346	1.0	387.912	-11.0	-	-	-	-	291.539	-	-	-	-	2.291	-	-	-	-	-3.049	-	-	-	-	387.912	-	-	-	-	1.0	-	-	-	-	2.0	136.133	82.835	39.857	1.767	2.195	-0.916	-1.154	85.296	50.837	0	0	
70	1392.699	1392.623	74.571	0.285	2.542	265.66	79.859	1023.35	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	277.292	64.411	27.159	2.813	2.751	-0.235	-1.611	202.601	74.691	0	0	
71	870.733	694.513	81.996	0.849	1.43	109.263	77.22	80.179	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	357.245	110.424	28.435	0.766	2.991	-1.705	1.454	167.469	189.776	0	0	
72	1151.631	1125.549	90.117	2.579	2.449	168.92	322.29	80.282	1.0	373.006	-11.0	-	-	-	-	181.682	-	-	-	-	2.633	-	-	-	-	-0.942	-	-	-	-	373.006	-	-	-	-	1.0	-	-	-	-	2.0	501.888	63.082	35.657	0.137	1.257	1.886	2.123	464.046	37.842	0	0	
73	723.197	456.872	41.592	3.06	2.951	510.734	81.307	79.762	1.0	83.15	-13.0	-	-	-	-	62.113	-	-	-	-	2.298	-	-	-	-	2.008	-	-	-	-	83.15	-	-	-	-	1.0	-	-	-	-	2.0	580.925	84.122	31.116	0.175	0.335	-0.423	-1.883	485.31	95.615	0	0	
74	1309.954	1309.874	46.011	1.657	-1.316	46.183	81.432	1179.952	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	51.038	37.214	9.921	1.642	0.981	1.936	1.397	38.086	12.951	0	0	
75	945.328	835.467	88.306	0.499	-1.845	184.602	81.518	77.114	1.0	241.767	11.0	-	-	-	-	205.662	-	-	-	-	1.017	-	-	-	-	1.073	-	-	-	-	241.767	-	-	-	-	-1.0	-	-	-	-	2.0	326.423	100.407	36.051	2.642	2.811	-1.963	-3.061	211.964	114.46	0	0	
76	1179.487	1173.992	129.643	0.381	0.375	348.987	82.736	915.285	1.0	507.907	-11.0	-	-	-	-	133.454	-	-	-	-	2.876	-	-	-	-	-2.464	-	-	-	-	507.907	-	-	-	-	1.0	-	-	-	-	2.0	186.515	44.247	27.189	0.486	0.311	1.337	-2.901	96.858	89.657	0	0	
77	1333.362	1332.088	63.607	0.224	-2.793	285.972	79.681	768.313	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	289.029	36.699	31.756	2.96	2.758	-0.002	0.757	203.497	85.532	0	0	
78	724.688	292.921	20.943	0.558	-2.415	39.534	79.945	76.292	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	58.98	26.168	18.061	2.373	1.915	-0.03	2.191	39.094	19.887	0	0	
79	1045.913	1042.902	154.55	2.866	-0.815	568.052	79.637	870.927	1.0	402.739	11.0	-	-	-	-	101.552	-	-	-	-	0.255	-	-	-	-	2.338	-	-	-	-	402.739	-	-	-	-	-1.0	-	-	-	-	2.0	192.417	69.867	28.646	0.739	0.343	1.922	-1.983	104.709	87.708	0	0	
80	1369.213	1368.911	104.985	1.153	-1.507	114.866	81.219	1224.182	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	144.802	78.183	32.72	1.507	2.577	1.842	1.12	79.2	65.601	0	0	
81	1402.866	1402.79	95.411	2.809	-1.929	291.87	81.416	829.967	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	300.283	80.053	20.416	0.301	0.847	1.366	0.567	271.214	29.069	0	0	
82	704.122	311.635	44.459	2.921	0.585	202.893	80.707	80.012	1.0	31.464	-11.0	-	-	-	-	22.325	-	-	-	-	2.353	-	-	-	-	-2.082	-	-	-	-	31.464	-	-	-	-	1.0	-	-	-	-	2.0	233.744	32.997	21.226	0.24	0.244	-2.252	1.826	143.477	90.267	0	0	
83	1240.459	1234.837	78.498	1.601	-1.355	78.534	81.778	1066.24	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	93.928	46.051	42.724	1.731	1.346	2.253	1.28	48.069	45.858	0	0	
