i	beam_e	beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	
2528	983.909	951.28	20.89	3.001	-3.111	600.354	29.113	79.787	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	364.995	134.669	121.745	1.477	0.566	0.548	-2.687	135.838	229.158	0	0	
2529	1281.294	1276.215	344.552	1.185	1.271	1027.495	544.714	85.3	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	861.062	455.523	230.473	1.267	2.455	-2.349	-0.041	483.362	377.7	0	0	
2530	916.355	781.824	68.131	0.244	-2.552	709.384	486.509	148.455	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	590.704	151.129	45.103	2.8	0.34	0.908	-1.793	453.6	137.103	0	0	
2531	1395.229	1395.16	210.918	2.178	-1.374	472.125	53.861	149.508	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	283.122	147.608	88.057	1.662	0.741	2.023	1.158	149.997	133.126	0	0	
2532	1359.426	1358.83	24.084	0.2	-2.117	423.92	133.447	89.135	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	203.628	72.979	59.944	0.998	2.593	0.98	-2.326	87.961	115.667	0	0	
2533	1399.187	1399.116	142.624	1.403	0.206	642.44	364.331	88.183	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	412.537	227.081	96.584	0.914	2.102	-2.172	1.489	299.915	112.622	0	0	
2534	1399.012	1398.938	152.613	0.862	3.054	369.834	25.092	126.298	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	232.22	105.501	98.695	2.146	1.598	-0.537	0.206	127.14	105.079	0	0	
2535	1218.664	1218.594	484.736	1.306	2.24	722.146	36.139	166.373	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	537.934	367.556	151.807	1.8	1.608	-0.908	-0.686	385.699	152.235	0	0	
2536	1144.639	1118.237	133.681	0.406	2.197	525.378	162.028	66.292	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	380.134	106.571	101.249	1.874	2.724	-1.809	-0.575	117.085	263.049	0	0	
2537	1401.555	1401.472	84.01	2.108	2.605	504.726	111.788	244.012	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	297.14	117.609	79.471	0.655	2.212	-1.307	1.097	197.42	99.72	0	0	
2538	1255.846	1251.91	79.547	2.1	0.224	735.394	220.652	79.266	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	611.684	318.379	247.999	1.759	1.225	3.019	-0.259	331.058	280.626	0	0	
2539	1294.202	1289.633	60.269	0.289	-1.27	674.239	145.584	243.938	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	500.284	151.57	132.025	2.62	0.772	1.247	-2.393	306.135	194.149	0	0	
2540	1239.728	1226.768	235.989	2.135	0.829	639.401	133.234	83.934	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	255.506	169.306	78.132	1.85	1.664	-2.541	-0.785	176.292	79.214	0	0	
2541	1406.56	1406.489	119.131	1.472	-0.324	315.243	70.957	92.287	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	188.418	90.135	69.46	1.973	1.03	2.427	-2.925	100.29	88.128	0	0	
2542	1234.824	1223.713	96.004	2.235	1.707	684.892	288.381	38.368	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	589.009	170.119	102.307	2.472	0.356	-0.862	2.875	294.07	294.939	0	0	
2543	1348.258	1348.151	12.509	3.019	2.397	550.413	58.217	132.23	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	322.829	165.335	135.099	1.286	1.19	-1.907	1.076	175.604	147.225	0	0	
2544	1325.621	1323.721	318.893	1.283	-1.457	574.03	118.773	86.163	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	383.752	185.817	184.365	1.727	1.744	2.053	1.225	195.874	187.878	0	0	
2545	1385.507	1385.438	105.628	2.532	-1.268	665.0	91.447	386.697	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	332.686	69.137	63.286	2.639	0.345	0.907	2.742	144.151	188.535	0	0	
2546	1276.368	1270.837	84.993	1.075	3.074	325.913	138.528	90.691	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	190.765	68.868	60.639	2.363	0.731	-0.365	-0.001	99.462	91.302	0	0	
2547	1313.249	1313.18	354.201	1.074	-2.574	637.437	162.888	66.646	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	487.864	203.34	184.617	1.9	2.373	0.568	0.607	217.725	270.139	0	0	
2548	1388.326	1388.24	164.909	0.299	-0.902	927.87	44.232	384.216	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	800.411	345.411	202.317	2.154	2.571	2.521	-0.426	415.568	384.843	0	0	
2549	1206.955	1206.751	59.246	0.494	-2.421	418.223	79.726	68.843	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	233.97	107.236	75.62	1.35	2.463	1.79	-0.929	111.901	122.07	0	0	
2550	1395.458	1395.389	228.251	1.766	-0.922	702.61	248.335	129.558	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	534.938	157.947	123.186	2.509	0.51	2.684	1.735	280.546	254.391	0	0	
2551	1201.844	1185.6	64.661	2.367	1.975	375.863	61.008	87.636	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	177.127	84.065	48.686	0.826	2.13	-1.311	-0.613	116.869	60.258	0	0	
2552	1399.929	1399.858	332.777	2.503	-1.541	1010.954	280.731	231.492	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	742.51	472.699	119.898	0.906	1.448	1.838	-0.54	613.948	128.563	0	0	
2553	1351.536	1350.79	98.485	0.189	1.62	715.69	196.588	386.701	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	441.022	70.529	51.474	2.954	1.034	-1.962	-1.429	379.861	61.161	0	0	
2554	1298.525	1295.652	44.803	3.049	-2.386	697.635	248.406	104.72	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	588.727	200.841	151.039	0.831	0.528	0.513	-2.675	284.967	303.76	0	0	
